method,decay,m,trial,estimate,true_trace,relative_error
Hutch++,0.5,40,3,60.226721753313555,61.80100876524323,0.025473484064147716
NA-Hutch++,0.5,40,3,62.14068987508534,61.80100876524323,0.005496368370497329
Gaussian-Hutch++,0.5,40,3,62.90715267268138,61.80100876524323,0.017898476570826438
Hutchinson,0.5,40,4,61.7461446677453,61.80100876524323,0.0008877540770627193
Hutch++,0.5,40,4,60.062724741007486,61.80100876524323,0.028127114087065738
NA-Hutch++,0.5,40,4,62.46883035636803,61.80100876524323,0.010805998226688825
Gaussian-Hutch++,0.5,40,4,61.62551919260484,61.80100876524323,0.0028395907468922368
Hutchinson,0.5,40,5,61.28160599532553,61.80100876524323,0.00840443837884108
Hutch++,0.5,40,5,60.50225293870098,61.80100876524323,0.021015123417737362
NA-Hutch++,0.5,40,5,60.99894046661716,61.80100876524323,0.012978239589466974
Gaussian-Hutch++,0.5,40,5,60.82800186651852,61.80100876524323,0.01574419120601684
Hutchinson,0.5,40,6,61.80177811628569,61.80100876524323,1.2448842791220362e-05
Hutch++,0.5,40,6,59.8593960026281,61.80100876524323,0.03141716941855306
NA-Hutch++,0.5,40,6,60.03594950851144,61.80100876524323,0.028560363204369808
Gaussian-Hutch++,0.5,40,6,61.394682022803224,61.80100876524323,0.006574759062323356
Hutchinson,0.5,40,7,62.67648481490123,61.80100876524323,0.014166047887398945
Hutch++,0.5,40,7,60.27125996979469,61.80100876524323,0.024752812713129502
NA-Hutch++,0.5,40,7,62.17482993713598,61.80100876524323,0.006048787541846509
Gaussian-Hutch++,0.5,40,7,62.020689392620156,61.80100876524323,0.0035546446856782057
Hutchinson,0.5,40,8,62.480654338888804,61.80100876524323,0.010997321681710219
Hutch++,0.5,40,8,60.270048310627786,61.80100876524323,0.02477241852848938
NA-Hutch++,0.5,40,8,62.45105714919948,61.80100876524323,0.010518410571994291
Gaussian-Hutch++,0.5,40,8,61.688654333959406,61.80100876524323,0.0018180031932911456
Hutchinson,0.5,40,9,61.51984775923652,61.80100876524323,0.004549456580469878
Hutch++,0.5,40,9,60.069884342576536,61.80100876524323,0.02801126482000528
NA-Hutch++,0.5,40,9,60.86669676411667,61.80100876524323,0.015118070397129492
Gaussian-Hutch++,0.5,40,9,62.32984155116639,61.80100876524323,0.008557025143909491
Hutchinson,0.5,40,10,62.2872180602782,61.80100876524323,0.007867335901940987
