case_name,orient_idx,orient_type,trial,seed,dimension,budget_m,query_count_per_method,diag_concentration,gate_triggered,r_knee_detected,q_target,rel_err_hutch,rel_err_hpp,rel_err_ghpp,rel_err_gated,sq_err_hutch,sq_err_hpp,sq_err_ghpp,sq_err_gated
"Step (r*=5, eta=1e-3)",5,Haar-Random,7,2026,100,60,60,0.8037794887912721,True,5,8,0.024431225340413396,1.734513473450046e-05,9.715760680868962e-05,2.0570936896667274e-05,0.015494546708967764,7.809868692592515e-09,2.4504282694761134e-07,1.098491044282237e-08
"Step (r*=5, eta=1e-3)",5,Haar-Random,8,2026,100,60,60,0.8037794887912721,True,5,8,0.08735927261338464,0.0001608787005270859,6.590558755459391e-05,4.1694371517538485e-05,0.19810999874812033,6.718703502066697e-07,1.1275423142717633e-07,4.512770423755501e-08
"Step (r*=5, eta=1e-3)",5,Haar-Random,9,2026,100,60,60,0.8037794887912721,True,5,8,0.0797605500238412,0.00010499373710302636,2.3595371794023964e-06,2.4973526081345004e-05,0.1651447063274364,2.861641101163998e-07,1.4452468336718964e-10,1.6190046963048833e-08
"Step (r*=5, eta=1e-3)",6,Haar-Random,0,2026,100,60,60,0.8038326485286712,True,5,8,0.18052575484020297,0.0001307925617218087,0.00021735530201956988,0.00010934666392699027,0.8459928954403685,4.4407310245066405e-07,1.2263907148797032e-06,3.103840902189478e-07
"Step (r*=5, eta=1e-3)",6,Haar-Random,1,2026,100,60,60,0.8038326485286712,True,5,8,0.08121791895368792,0.0004053401406155175,5.183867861925422e-05,6.974073242821433e-05,0.17123482388239608,4.265084151151764e-06,6.975835361432275e-08,1.262587207843176e-07
"Step (r*=5, eta=1e-3)",6,Haar-Random,2,2026,100,60,60,0.8038326485286712,True,5,8,0.017958891542675395,0.0001526498707459507,8.782011820819877e-05,5.957643562474995e-05,0.008372351091322538,6.048967602526276e-07,2.0020568772433466e-07,9.213770904033947e-08
"Step (r*=5, eta=1e-3)",6,Haar-Random,3,2026,100,60,60,0.8038326485286712,True,5,8,0.10825915592248639,0.00016481685061165303,0.00017760495639512457,0.00016049627234745935,0.30424093702991717,7.051663811349304e-07,8.18839038184998e-07,6.686799121585761e-07
"Step (r*=5, eta=1e-3)",6,Haar-Random,4,2026,100,60,60,0.8038326485286712,True,5,8,0.14053165714083468,0.00012892143730874867,0.00021335940920821035,0.00011469529795256384,0.5126685918431337,4.3145812724311027e-07,1.181712901258121e-06,3.414912690921264e-07
"Step (r*=5, eta=1e-3)",6,Haar-Random,5,2026,100,60,60,0.8038326485286712,True,5,8,0.08173635410261126,0.0004033481182190437,0.00012859790422060824,0.0001627877659060095,0.17342787405760166,4.223266105601235e-06,4.292953243940071e-07,6.879104433159549e-07
"Step (r*=5, eta=1e-3)",6,Haar-Random,6,2026,100,60,60,0.8038326485286712,True,5,8,0.0765160373679381,0.00010454018942283744,0.00025698426671990493,0.00010587767806166296,0.1519824068414291,2.8369712983552356e-07,1.7143577204565745e-06,2.9100281736584417e-07
"Step (r*=5, eta=1e-3)",6,Haar-Random,7,2026,100,60,60,0.8038326485286712,True,5,8,0.12280272286961408,0.0003152105603790949,0.0003163588879922701,0.00012496157016288428,0.3914753035031782,2.579228950087154e-06,2.5980556975915135e-06,4.0536040368703896e-07
"Step (r*=5, eta=1e-3)",6,Haar-Random,8,2026,100,60,60,0.8038326485286712,True,5,8,0.0038470981929106833,0.00019546790100311264,5.883287190319678e-06,2.9960916131219668e-06,0.00038419784041268293,9.9183464786591e-07,8.985215017902575e-10,2.3302287406071493e-10
"Step (r*=5, eta=1e-3)",6,Haar-Random,9,2026,100,60,60,0.8038326485286712,True,5,8,0.010868051890672439,0.00027077353341787907,0.00015353505571168722,3.0438140166582258e-05,0.0030661386055930275,1.9032717487849576e-06,6.119324424208674e-07,2.4050527263373767e-08
"Step (r*=5, eta=1e-3)",7,Haar-Random,0,2026,100,60,60,0.8044858857032717,True,5,8,0.11685048989277688,2.9193800738356555e-05,3.2175505950172643e-05,2.745573479195108e-05,0.35444548752713934,2.2124305949208975e-08,2.687442285295987e-08,1.9568364030257463e-08
"Step (r*=5, eta=1e-3)",7,Haar-Random,1,2026,100,60,60,0.8044858857032717,True,5,8,0.02714595198412327,4.049144014810684e-05,6.034599620139155e-05,0.000252010343760476,0.019129275848726073,4.2561294020142755e-08,9.453340452741966e-08,1.6486372574015835e-06
"Step (r*=5, eta=1e-3)",7,Haar-Random,2,2026,100,60,60,0.8044858857032717,True,5,8,0.0548166637534251,0.0002634202306106605,1.8327234755260796e-05,0.00011248461034244714,0.078003407841496,1.8013024010910625e-06,8.719312886438995e-09,3.284540286907653e-07
"Step (r*=5, eta=1e-3)",7,Haar-Random,3,2026,100,60,60,0.8044858857032717,True,5,8,0.01608209415416358,0.00018050838268892947,0.00020383998389999635,0.00013671993131850478,0.00671388004396402,8.458300820021423e-07,1.0786166734131036e-06,4.852349114972337e-07
"Step (r*=5, eta=1e-3)",7,Haar-Random,4,2026,100,60,60,0.8044858857032717,True,5,8,0.15955644305021666,0.0002234705680588864,0.00017884259795727432,0.00013893101876196642,0.6608715693469521,1.2963702100936318e-06,8.3029097389505e-07,5.01056634928939e-07
"Step (r*=5, eta=1e-3)",7,Haar-Random,5,2026,100,60,60,0.8044858857032717,True,5,8,0.006648022521703475,0.00018289053969387345,6.843765972816065e-05,3.105141160932665e-05,0.0011472903502396643,8.683021165412697e-07,1.2158462984455476e-07,2.5029436544301296e-08
"Step (r*=5, eta=1e-3)",7,Haar-Random,6,2026,100,60,60,0.8044858857032717,True,5,8,0.11150105037661844,0.00018349818229812558,9.279400258041553e-05,0.00013891618734840754,0.32273516907078587,8.740814624650151e-07,2.2352607525191008e-07,5.009496612441371e-07
"Step (r*=5, eta=1e-3)",7,Haar-Random,7,2026,100,60,60,0.8044858857032717,True,5,8,0.09184053073450883,0.00018781900746580918,0.0004015230732739537,0.00013464000120197884,0.2189561490860701,9.157300354387881e-07,4.1851342162616065e-06,4.7058338608676727e-07
"Step (r*=5, eta=1e-3)",7,Haar-Random,8,2026,100,60,60,0.8044858857032717,True,5,8,0.19252022512843756,3.4925594914838836e-05,1.3325712079403984e-05,5.05583504216329e-05,0.962146265251613,3.16647454945839e-08,4.609663543668207e-09,6.635507861625052e-08
"Step (r*=5, eta=1e-3)",7,Haar-Random,9,2026,100,60,60,0.8044858857032717,True,5,8,0.04905121880493125,0.00012256982698846352,0.00018608759919222476,0.00016172951204349508,0.06245798696831558,3.89991842409583e-07,8.98924552238643e-07,6.789955517846791e-07
"Step (r*=5, eta=1e-3)",8,Haar-Random,0,2026,100,60,60,0.8031543648619731,True,5,8,0.0733884179056935,0.0003495818661767881,0.00031750603256782794,6.493479801184844e-05,0.13981167134152464,3.172387058610268e-06,2.616931405583646e-06,1.0945695557932164e-07
"Step (r*=5, eta=1e-3)",8,Haar-Random,1,2026,100,60,60,0.8031543648619731,True,5,8,0.02458747184085881,0.0005414901821661958,4.1084734189719994e-05,1.6950032084437712e-05,0.015693366878612378,7.611487705919622e-06,4.381767599760209e-08,7.45812101474564e-09
"Step (r*=5, eta=1e-3)",8,Haar-Random,2,2026,100,60,60,0.8031543648619731,True,5,8,0.04124193651507811,0.00014792491516373444,5.855131468552965e-05,0.00022240571098640756,0.04415363624736211,5.680296877240869e-07,8.899419492840548e-08,1.284045007559656e-06
"Step (r*=5, eta=1e-3)",8,Haar-Random,3,2026,100,60,60,0.8031543648619731,True,5,8,0.003474103146187501,0.0005540283353475991,2.0376722212162527e-05,0.0001031782209005334,0.00031330966606442904,7.968055136002632e-06,1.0778467748040187e-08,2.76353167560816e-07
"Step (r*=5, eta=1e-3)",8,Haar-Random,4,2026,100,60,60,0.8031543648619731,True,5,8,0.0720320155943931,0.0001972546884620475,0.00013887381272539523,1.601538773560682e-05,0.1346912896885504,1.0100504019651153e-06,5.00644091161191e-07,6.65829896626636e-09
"Step (r*=5, eta=1e-3)",8,Haar-Random,5,2026,100,60,60,0.8031543648619731,True,5,8,0.027559008624824254,0.000252282848792689,0.00016600226012604592,5.869204082472189e-05,0.019715852396223744,1.652204609767123e-06,7.153463716945536e-07,8.942249819742959e-08
"Step (r*=5, eta=1e-3)",8,Haar-Random,6,2026,100,60,60,0.8031543648619731,True,5,8,0.02298402786126101,5.20640844845933e-05,0.00019028695145363532,9.899462891472842e-05,0.013713258274540358,7.036632156579082e-08,9.399535523799336e-07,2.5439679800278524e-07
"Step (r*=5, eta=1e-3)",8,Haar-Random,7,2026,100,60,60,0.8031543648619731,True,5,8,0.07961362024279794,6.066699855804677e-05,4.086340435173866e-05,0.00015489504878677293,0.16453682872083378,9.554179470393522e-08,4.334684241057759e-08,6.228212878952933e-07
"Step (r*=5, eta=1e-3)",8,Haar-Random,8,2026,100,60,60,0.8031543648619731,True,5,8,0.026783423162762686,4.463171103049592e-06,1.6905159556282386e-05,4.6583240758325105e-05,0.018621752175990866,5.17101085921827e-10,7.4186848936134284e-09,5.633104062710652e-08
"Step (r*=5, eta=1e-3)",8,Haar-Random,9,2026,100,60,60,0.8031543648619731,True,5,8,0.05995205074424459,2.0831903688274127e-06,0.00012564868200495635,5.997768494485731e-06,0.09330318377173591,1.1265391645758643e-10,4.0983047697605723e-07,9.338298967768062e-10
"Step (r*=5, eta=1e-3)",9,Haar-Random,0,2026,100,60,60,0.8036858865379736,True,5,8,0.005992981143497041,0.0002650788958676188,0.0002858780344977963,7.427756275701146e-05,0.0009323397467972228,1.8240581639024054e-06,2.1215337826977234e-06,1.4321999907658017e-07
"Step (r*=5, eta=1e-3)",9,Haar-Random,1,2026,100,60,60,0.8036858865379736,True,5,8,0.16903436828297497,0.00028223421063245405,9.55215508666096e-05,0.00011881985816642188,0.7417172961727811,2.0677959802024686e-06,2.3685966275430747e-07,3.6649363450938835e-07
"Step (r*=5, eta=1e-3)",9,Haar-Random,2,2026,100,60,60,0.8036858865379736,True,5,8,0.09717126537240045,0.00020440172638730601,8.05909670054281e-05,6.4298482597139536e-06,0.24511172877490311,1.0845697713087762e-06,1.686013743447411e-07,1.0732226373959636e-09
"Step (r*=5, eta=1e-3)",9,Haar-Random,3,2026,100,60,60,0.8036858865379736,True,5,8,0.1540903551585959,0.00045922627750469254,0.00030474151654413887,5.3450525170632335e-05,0.6163668726317265,5.474466955208594e-06,2.410746948162826e-06,7.416386078611064e-08
"Step (r*=5, eta=1e-3)",9,Haar-Random,4,2026,100,60,60,0.8036858865379736,True,5,8,0.06762894610741084,0.00029167749866017295,0.00020270128386755144,0.00015008729738485256,0.11872812683501906,2.208483864442901e-06,1.0665994994859117e-06,5.847581068281503e-07
