sample_size_s,independent_pairs_n,delta,norm_envelope_M0,ell_candidate,ell_baseline,variance_bound,one_sided_radius,nonvacuous,phase2b_data_only_radius
16,8,0.05,0.001,70,80,1.1766581632653065e-13,5.286362773926041e-07,True,inf
16,8,0.05,0.001,80,100,8.3025e-14,4.4405447300978734e-07,True,inf
16,8,0.05,0.001,100,100,6.560000000000002e-14,3.94715087119811e-07,True,inf
16,8,0.05,0.005,70,80,7.354113520408164e-11,1.3215906934815101e-05,True,inf
16,8,0.05,0.005,80,100,5.1890624999999994e-11,1.1101361825244683e-05,True,inf
16,8,0.05,0.005,100,100,4.1e-11,9.867877177995274e-06,True,inf
16,8,0.05,0.01,70,80,1.1766581632653062e-09,5.2863627739260406e-05,True,inf
16,8,0.05,0.01,80,100,8.302499999999999e-10,4.440544730097873e-05,True,inf
16,8,0.05,0.01,100,100,6.56e-10,3.94715087119811e-05,True,inf
16,8,0.05,0.05,70,80,7.354113520408166e-07,0.0013215906934815102,True,inf
16,8,0.05,0.05,80,100,5.1890625e-07,0.0011101361825244685,True,inf
16,8,0.05,0.05,100,100,4.1000000000000004e-07,0.0009867877177995275,True,inf
16,8,0.05,0.1,70,80,1.1766581632653065e-05,0.005286362773926041,True,inf
16,8,0.05,0.1,80,100,8.3025e-06,0.004440544730097874,True,inf
16,8,0.05,0.1,100,100,6.560000000000001e-06,0.00394715087119811,True,inf
16,8,0.05,0.5,70,80,0.007354113520408165,0.13215906934815103,True,inf
16,8,0.05,0.5,80,100,0.0051890625,0.11101361825244684,True,inf
16,8,0.05,0.5,100,100,0.0041,0.09867877177995275,True,inf
16,8,0.05,1.0,70,80,0.11766581632653064,0.5286362773926041,True,inf
16,8,0.05,1.0,80,100,0.083025,0.44405447300978734,True,inf
16,8,0.05,1.0,100,100,0.0656,0.394715087119811,True,inf
16,8,0.1,0.001,70,80,1.1766581632653065e-13,3.638324385858784e-07,True,inf
16,8,0.1,0.001,80,100,8.3025e-14,3.0561924841213783e-07,True,inf
16,8,0.1,0.001,100,100,6.560000000000002e-14,2.7166155414412256e-07,True,inf
16,8,0.1,0.005,70,80,7.354113520408164e-11,9.09581096464696e-06,True,inf
16,8,0.1,0.005,80,100,5.1890624999999994e-11,7.640481210303445e-06,True,inf
16,8,0.1,0.005,100,100,4.1e-11,6.791538853603062e-06,True,inf
16,8,0.1,0.01,70,80,1.1766581632653062e-09,3.638324385858784e-05,True,inf
16,8,0.1,0.01,80,100,8.302499999999999e-10,3.056192484121378e-05,True,inf
16,8,0.1,0.01,100,100,6.56e-10,2.716615541441225e-05,True,inf
16,8,0.1,0.05,70,80,7.354113520408166e-07,0.0009095810964646961,True,inf
16,8,0.1,0.05,80,100,5.1890625e-07,0.0007640481210303445,True,inf
16,8,0.1,0.05,100,100,4.1000000000000004e-07,0.0006791538853603063,True,inf
16,8,0.1,0.1,70,80,1.1766581632653065e-05,0.0036383243858587842,True,inf
16,8,0.1,0.1,80,100,8.3025e-06,0.003056192484121378,True,inf
16,8,0.1,0.1,100,100,6.560000000000001e-06,0.002716615541441225,True,inf
16,8,0.1,0.5,70,80,0.007354113520408165,0.0909581096464696,True,inf
