setup,trial,target_q,loss_power,loss_exp,rel_err_tail_power,rel_err_tail_exp,amplification_power,amplification_exp
Exponential (alpha=0.05),18,20,0.023878707695995254,0.0058471067982826894,6.719865740398844,0.9334784338707003,281.41664220984745,159.64791920428362
Exponential (alpha=0.05),18,40,0.023878707695995254,0.0058471067982826894,47.08727858849486,0.9921399970989387,1971.9358009654782,169.68049860499423
Exponential (alpha=0.05),18,60,0.023878707695995254,0.0058471067982826894,310.491127665156,0.9990712839579372,13002.844693485078,170.86592023263557
Exponential (alpha=0.05),18,80,0.023878707695995254,0.0058471067982826894,2051.6983042034453,0.9998902654998951,85921.66419716332,171.0059863491051
Exponential (alpha=0.05),19,20,0.007144264414385195,0.0006817179441977585,12.736045379029028,0.8136423208347158,1782.695129760583,1193.5175339981515
Exponential (alpha=0.05),19,40,0.007144264414385195,0.0006817179441977585,87.18580772189539,0.9496504977301976,12203.608748598454,1393.0255238546126
Exponential (alpha=0.05),19,60,0.007144264414385195,0.0006817179441977585,581.0707788923141,0.9863967377669708,81333.8847930903,1446.9279336351174
Exponential (alpha=0.05),19,80,0.007144264414385195,0.0006817179441977585,3888.3478199042124,0.996324715537334,544261.4653974232,1461.4911086847094
Exponential (alpha=0.05),20,20,0.010184197993056386,0.0022261386742424487,7.714692560365858,0.8966239942471076,757.5159639343461,402.77095233047703
Exponential (alpha=0.05),20,40,0.010184197993056386,0.0022261386742424487,53.65334903474993,0.9825138580519709,5268.293985060251,441.35339319998354
Exponential (alpha=0.05),20,60,0.010184197993056386,0.0022261386742424487,354.5012969773949,0.9970422037686221,34808.95571593226,447.8796468778093
Exponential (alpha=0.05),20,80,0.010184197993056386,0.0022261386742424487,2348.877304010369,0.9994996861756249,230639.3989375698,448.9835684054002
Exponential (alpha=0.05),21,20,0.007959205151579976,0.0006430011634753655,8.758848633369945,0.8793799307299479,1100.46775594555,1367.6179442807813
Exponential (alpha=0.05),21,40,0.007959205151579976,0.0006430011634753655,60.57734639311791,0.9769054268966186,7610.97939201652,1519.2902919447909
Exponential (alpha=0.05),21,60,0.007959205151579976,0.0006430011634753655,401.0583080857129,0.9955781876924797,50389.24118644056,1548.3303027993536
Exponential (alpha=0.05),21,80,0.007959205151579976,0.0006430011634753655,2664.0250916857503,0.9991533758168086,334709.9415853361,1553.8904608859193
Exponential (alpha=0.05),22,20,0.004336226735432795,0.0022769009859617446,16.217468774633534,0.707042066665554,3739.995567661405,310.5282446247336
Exponential (alpha=0.05),22,40,0.004336226735432795,0.0022769009859617446,110.70387551918225,0.8877591508435959,25530.0016000208,389.89800431691395
Exponential (alpha=0.05),22,60,0.004336226735432795,0.0022769009859617446,741.2568752729077,0.9569972109102117,170945.13740365522,420.3069067958073
Exponential (alpha=0.05),22,80,0.004336226735432795,0.0022769009859617446,4983.624327786571,0.9835243595942939,1149299.7554565973,431.9574567476871
Exponential (alpha=0.05),23,20,0.011844940085957633,0.003119792614677365,15.163327991443412,0.7930629022796848,1280.1523587392078,254.20372440605192
Exponential (alpha=0.05),23,40,0.011844940085957633,0.003119792614677365,103.56468634092387,0.9393293446559807,8743.369369589138,301.0871107059258
Exponential (alpha=0.05),23,60,0.011844940085957633,0.003119792614677365,692.5427750187464,0.9822123318610775,58467.39366637232,314.8325715386761
Exponential (alpha=0.05),23,80,0.011844940085957633,0.003119792614677365,4650.066335224995,0.9947849395058644,392578.29090627015,318.86252134418817
Exponential (alpha=0.05),24,20,0.007666405754672455,0.0008378462632578248,9.224117567929337,0.870444395040843,1203.1867164224009,1038.90705511696
Exponential (alpha=0.05),24,40,0.007666405754672455,0.0008378462632578248,63.672101320778424,0.9737370843603694,8305.339340233428,1162.1906379482618
Exponential (alpha=0.05),24,60,0.007666405754672455,0.0008378462632578248,421.911079393714,0.9946761026810305,55033.7528223754,1187.1821181444636
Exponential (alpha=0.05),24,80,0.007666405754672455,0.0008378462632578248,2805.407798254262,0.9989207640515,365935.2097530855,1192.2482759248883
Exponential (alpha=0.05),25,20,0.011293950857666704,0.0014746873265788622,8.470492254972493,0.8926772311928116,750.0025775720852,605.3332218283904
Exponential (alpha=0.05),25,40,0.011293950857666704,0.0014746873265788622,58.66216197493461,0.9812900861901475,5194.12229688592,665.4224714883982
Exponential (alpha=0.05),25,60,0.011293950857666704,0.0014746873265788622,388.16664574473606,0.9967382422325933,34369.42931683348,675.8980182389141
Exponential (alpha=0.05),25,80,0.011293950857666704,0.0014746873265788622,2576.6874973472127,0.999431367570853,228147.57471429274,677.7242530535045
Exponential (alpha=0.05),26,20,0.02238593645139364,0.005226706368896527,8.236586258495416,0.9169575112489307,367.9357473390268,175.43696667756055
Exponential (alpha=0.05),26,40,0.02238593645139364,0.005226706368896527,57.11028404394457,0.9882367855824928,2551.1679694703143,189.07447934597803
Exponential (alpha=0.05),26,60,0.02238593645139364,0.005226706368896527,377.7281416765069,0.998333705847251,16873.457247580005,191.00627339565182
Exponential (alpha=0.05),26,80,0.02238593645139364,0.005226706368896527,2506.0093926658587,0.9997639644991168,111945.70296378649,191.27991774271203
Exponential (alpha=0.05),27,20,0.018431688220083866,0.004498351852918016,5.954001593622558,0.9334336194049325,323.0307241640417,207.50569313334657
Exponential (alpha=0.05),27,40,0.018431688220083866,0.004498351852918016,42.05610087515906,0.992130350691573,2281.728096238706,220.55419027025155
Exponential (alpha=0.05),27,60,0.018431688220083866,0.004498351852918016,276.8753875002143,0.9990696297487301,15021.705238237411,222.09681727732152
Exponential (alpha=0.05),27,80,0.018431688220083866,0.004498351852918016,1825.2582811047694,0.9998900092274874,99028.27452435262,222.27919062324878
Exponential (alpha=0.05),28,20,0.0044501245455674755,0.0006110180050930908,10.514207801258658,0.8340554573219924,2362.677199533349,1365.0259877855726
Exponential (alpha=0.05),28,40,0.0044501245455674755,0.0006110180050930908,72.28026447705606,0.9590684636737096,16242.30147284488,1569.6238966934666
Exponential (alpha=0.05),28,60,0.0044501245455674755,0.0006110180050930908,480.03968564882535,0.9899039122408032,107871.06756800669,1620.0895920733108
Exponential (alpha=0.05),28,80,0.0044501245455674755,0.0006110180050930908,3200.186919647672,0.997509719956739,719123.001201411,1632.5373557072633
Exponential (alpha=0.05),29,20,0.018347086596961083,0.003427623393637876,5.7117776747292694,0.9378060851746167,311.3179656198942,273.60242862203205
Exponential (alpha=0.05),29,40,0.018347086596961083,0.003427623393637876,40.46966646438457,0.9930468090687812,2205.7816236002272,289.71876275039114
Exponential (alpha=0.05),29,60,0.018347086596961083,0.003427623393637876,266.2970910752607,0.9992226431755538,14514.407486628117,291.52054590907596
Exponential (alpha=0.05),29,80,0.018347086596961083,0.003427623393637876,1754.111749920561,0.9999130926159507,95607.10037284589,291.7219826951234
Exponential (alpha=0.05),30,20,0.011200747664154262,0.0013645446143138258,9.860162418046134,0.8743596297420586,880.3128784626838,640.7702759802899
Exponential (alpha=0.05),30,40,0.011200747664154262,0.0013645446143138258,67.9113753311286,0.9751469891495115,6063.110906640828,714.6318106463976
Exponential (alpha=0.05),30,60,0.011200747664154262,0.0013645446143138258,450.51561075378663,0.9950838082769778,40221.9230556679,729.2424132633602
Exponential (alpha=0.05),30,80,0.011200747664154262,0.0013645446143138258,2999.557855187257,0.9990275246242686,267799.78844795673,732.1325469409488
