setup_index,spectrum_family,setup_name,matrix_seed,risk_name,q,bootstrap_count,bootstrap_frequency,bootstrap_samples,bootstrap_seed
1,power,power_c_0.7,42001,oracle_risk,29,20000,1.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,30,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,31,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,32,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,33,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,34,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,35,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,36,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,37,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,38,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,39,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,40,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,41,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,42,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,43,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,44,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,45,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,46,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,47,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,48,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,49,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,50,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,51,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,52,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,53,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,54,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,55,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,56,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,57,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,58,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,59,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,60,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,61,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,62,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,63,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,64,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,65,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,66,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,67,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,68,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,69,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,70,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,71,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,72,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,73,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,74,0,0.0,20000,20260816
1,power,power_c_0.7,42001,oracle_risk,75,0,0.0,20000,20260816
