sample_size,T_cap,kappa,epsilon,truncation_bias_beta,variance_envelope_nu,bernstein_lower_tail_D,analytic_probability_floor,is_admissible,strictly_exceeds_analytic_floor
4,2048.0,0.044721359549995794,0.75,1.6620208733654504e-56,80.0,0.9860791127053207,0.9753099120283326,True,True
4,2048.0,0.044721359549995794,0.99,1.6620208733654504e-56,80.0,0.9758934755785573,0.9753099120283326,True,True
4,4096.0,1.0,0.1,0.022027882325764997,80.04357053705178,0.9998481522956285,0.9753099120283326,True,True
4,4096.0,1.0,0.25,0.022027882325764997,80.04357053705178,0.9987034979246991,0.9753099120283326,True,True
4,4096.0,1.0,0.5,0.022027882325764997,80.04357053705178,0.9943192120067856,0.9753099120283326,True,True
4,4096.0,1.0,0.75,0.022027882325764997,80.04357053705178,0.9868854030142271,0.9753099120283326,True,True
4,4096.0,1.0,0.99,0.022027882325764997,80.04357053705178,0.9769522458421138,0.9753099120283326,True,True
4,4096.0,0.5,0.1,1.8791206492824855e-07,80.0000003758241,0.9997501362845669,0.9753099120283326,True,True
4,4096.0,0.5,0.25,1.8791206492824855e-07,80.0000003758241,0.9984403457898092,0.9753099120283326,True,True
4,4096.0,0.5,0.5,1.8791206492824855e-07,80.0000003758241,0.9937824081956199,0.9753099120283326,True,True
4,4096.0,0.5,0.75,1.8791206492824855e-07,80.0000003758241,0.9860791196862274,0.9753099120283326,True,True
4,4096.0,0.5,0.99,1.8791206492824855e-07,80.0000003758241,0.9758934847115261,0.9753099120283326,True,True
4,4096.0,0.25,0.1,5.825664880000653e-17,80.0,0.9997501353446558,0.9753099120283326,True,True
4,4096.0,0.25,0.25,5.825664880000653e-17,80.0,0.9984403434409186,0.9753099120283326,True,True
4,4096.0,0.25,0.5,5.825664880000653e-17,80.0,0.9937824035125197,0.9753099120283326,True,True
4,4096.0,0.25,0.75,5.825664880000653e-17,80.0,0.9860791127053207,0.9753099120283326,True,True
4,4096.0,0.25,0.99,5.825664880000653e-17,80.0,0.9758934755785573,0.9753099120283326,True,True
4,4096.0,0.1,0.1,9.211361275968073e-43,80.0,0.9997501353446558,0.9753099120283326,True,True
4,4096.0,0.1,0.25,9.211361275968073e-43,80.0,0.9984403434409186,0.9753099120283326,True,True
4,4096.0,0.1,0.5,9.211361275968073e-43,80.0,0.9937824035125197,0.9753099120283326,True,True
4,4096.0,0.1,0.75,9.211361275968073e-43,80.0,0.9860791127053207,0.9753099120283326,True,True
4,4096.0,0.1,0.99,9.211361275968073e-43,80.0,0.9758934755785573,0.9753099120283326,True,True
4,4096.0,0.044721359549995794,0.1,6.4063708369018545e-87,80.0,0.9997501353446558,0.9753099120283326,True,True
4,4096.0,0.044721359549995794,0.25,6.4063708369018545e-87,80.0,0.9984403434409186,0.9753099120283326,True,True
4,4096.0,0.044721359549995794,0.5,6.4063708369018545e-87,80.0,0.9937824035125197,0.9753099120283326,True,True
4,4096.0,0.044721359549995794,0.75,6.4063708369018545e-87,80.0,0.9860791127053207,0.9753099120283326,True,True
4,4096.0,0.044721359549995794,0.99,6.4063708369018545e-87,80.0,0.9758934755785573,0.9753099120283326,True,True
4,8192.0,1.0,0.1,0.0002795068407896594,80.0005589355575,0.9997515314427419,0.9753099120283326,True,True
4,8192.0,1.0,0.25,0.0002795068407896594,80.0005589355575,0.9984438352989842,0.9753099120283326,True,True
4,8192.0,1.0,0.5,0.0002795068407896594,80.0005589355575,0.993789367358546,0.9753099120283326,True,True
4,8192.0,1.0,0.75,0.0002795068407896594,80.0005589355575,0.9860894944074116,0.9753099120283326,True,True
4,8192.0,1.0,0.99,0.0002795068407896594,80.0005589355575,0.9759070583647831,0.9753099120283326,True,True
4,8192.0,0.5,0.1,2.2232381046141962e-11,80.00000000004447,0.999750135344767,0.9753099120283326,True,True
4,8192.0,0.5,0.25,2.2232381046141962e-11,80.00000000004447,0.9984403434411965,0.9753099120283326,True,True
4,8192.0,0.5,0.5,2.2232381046141962e-11,80.00000000004447,0.9937824035130737,0.9753099120283326,True,True
4,8192.0,0.5,0.75,2.2232381046141962e-11,80.00000000004447,0.9860791127061466,0.9753099120283326,True,True
4,8192.0,0.5,0.99,2.2232381046141962e-11,80.00000000004447,0.9758934755796379,0.9753099120283326,True,True
4,8192.0,0.25,0.1,5.984078675237384e-25,80.0,0.9997501353446558,0.9753099120283326,True,True
4,8192.0,0.25,0.25,5.984078675237384e-25,80.0,0.9984403434409186,0.9753099120283326,True,True
4,8192.0,0.25,0.5,5.984078675237384e-25,80.0,0.9937824035125197,0.9753099120283326,True,True
4,8192.0,0.25,0.75,5.984078675237384e-25,80.0,0.9860791127053207,0.9753099120283326,True,True
4,8192.0,0.25,0.99,5.984078675237384e-25,80.0,0.9758934755785573,0.9753099120283326,True,True
4,8192.0,0.1,0.1,7.854108353947351e-63,80.0,0.9997501353446558,0.9753099120283326,True,True
4,8192.0,0.1,0.25,7.854108353947351e-63,80.0,0.9984403434409186,0.9753099120283326,True,True
4,8192.0,0.1,0.5,7.854108353947351e-63,80.0,0.9937824035125197,0.9753099120283326,True,True
4,8192.0,0.1,0.75,7.854108353947351e-63,80.0,0.9860791127053207,0.9753099120283326,True,True
4,8192.0,0.1,0.99,7.854108353947351e-63,80.0,0.9758934755785573,0.9753099120283326,True,True
4,8192.0,0.044721359549995794,0.1,5.782115619281695e-131,80.0,0.9997501353446558,0.9753099120283326,True,True
4,8192.0,0.044721359549995794,0.25,5.782115619281695e-131,80.0,0.9984403434409186,0.9753099120283326,True,True
4,8192.0,0.044721359549995794,0.5,5.782115619281695e-131,80.0,0.9937824035125197,0.9753099120283326,True,True
4,8192.0,0.044721359549995794,0.75,5.782115619281695e-131,80.0,0.9860791127053207,0.9753099120283326,True,True
4,8192.0,0.044721359549995794,0.99,5.782115619281695e-131,80.0,0.9758934755785573,0.9753099120283326,True,True
4,16384.0,1.0,0.1,5.130344448485075e-07,80.00000102606863,0.9997501379107815,0.9753099120283326,True,True
4,16384.0,1.0,0.25,5.130344448485075e-07,80.00000102606863,0.9984403498538174,0.9753099120283326,True,True
4,16384.0,1.0,0.5,5.130344448485075e-07,80.00000102606863,0.9937824162982393,0.9753099120283326,True,True
4,16384.0,1.0,0.75,5.130344448485075e-07,80.00000102606863,0.9860791317644739,0.9753099120283326,True,True
4,16384.0,1.0,0.99,5.130344448485075e-07,80.00000102606863,0.9758935005132352,0.9753099120283326,True,True
4,16384.0,0.5,0.1,5.445433402554211e-17,80.0,0.9997501353446558,0.9753099120283326,True,True
4,16384.0,0.5,0.25,5.445433402554211e-17,80.0,0.9984403434409186,0.9753099120283326,True,True
4,16384.0,0.5,0.5,5.445433402554211e-17,80.0,0.9937824035125197,0.9753099120283326,True,True
4,16384.0,0.5,0.75,5.445433402554211e-17,80.0,0.9860791127053207,0.9753099120283326,True,True
4,16384.0,0.5,0.99,5.445433402554211e-17,80.0,0.9758934755785573,0.9753099120283326,True,True
4,16384.0,0.25,0.1,2.6068451338579417e-36,80.0,0.9997501353446558,0.9753099120283326,True,True
4,16384.0,0.25,0.25,2.6068451338579417e-36,80.0,0.9984403434409186,0.9753099120283326,True,True
4,16384.0,0.25,0.5,2.6068451338579417e-36,80.0,0.9937824035125197,0.9753099120283326,True,True
4,16384.0,0.25,0.75,2.6068451338579417e-36,80.0,0.9860791127053207,0.9753099120283326,True,True
4,16384.0,0.25,0.99,2.6068451338579417e-36,80.0,0.9758934755785573,0.9753099120283326,True,True
4,16384.0,0.1,0.1,2.301866862119891e-91,80.0,0.9997501353446558,0.9753099120283326,True,True
4,16384.0,0.1,0.25,2.301866862119891e-91,80.0,0.9984403434409186,0.9753099120283326,True,True
4,16384.0,0.1,0.5,2.301866862119891e-91,80.0,0.9937824035125197,0.9753099120283326,True,True
4,16384.0,0.1,0.75,2.301866862119891e-91,80.0,0.9860791127053207,0.9753099120283326,True,True
4,16384.0,0.1,0.99,2.301866862119891e-91,80.0,0.9758934755785573,0.9753099120283326,True,True
4,16384.0,0.044721359549995794,0.1,3.850023557909563e-194,80.0,0.9997501353446558,0.9753099120283326,True,True
4,16384.0,0.044721359549995794,0.25,3.850023557909563e-194,80.0,0.9984403434409186,0.9753099120283326,True,True
4,16384.0,0.044721359549995794,0.5,3.850023557909563e-194,80.0,0.9937824035125197,0.9753099120283326,True,True
4,16384.0,0.044721359549995794,0.75,3.850023557909563e-194,80.0,0.9860791127053207,0.9753099120283326,True,True
4,16384.0,0.044721359549995794,0.99,3.850023557909563e-194,80.0,0.9758934755785573,0.9753099120283326,True,True
8,64.0,1.0,0.1,95.07769412391455,81.0,1.0,0.951229424500714,False,True
8,64.0,1.0,0.25,95.07769412391455,81.0,1.0,0.951229424500714,False,True
8,64.0,1.0,0.5,95.07769412391455,81.0,1.0,0.951229424500714,False,True
8,64.0,1.0,0.75,95.07769412391455,81.0,1.0,0.951229424500714,False,True
8,64.0,1.0,0.99,95.07769412391455,81.0,1.0,0.951229424500714,False,True
8,64.0,0.5,0.1,13.634069669641837,81.0,1.0,0.951229424500714,False,True
8,64.0,0.5,0.25,13.634069669641837,81.0,1.0,0.951229424500714,False,True
8,64.0,0.5,0.5,13.634069669641837,81.0,1.0,0.951229424500714,False,True
8,64.0,0.5,0.75,13.634069669641837,81.0,1.0,0.951229424500714,False,True
8,64.0,0.5,0.99,13.634069669641837,81.0,1.0,0.951229424500714,False,True
8,64.0,0.25,0.1,1.1621929196612273,81.0,1.0,0.951229424500714,False,True
8,64.0,0.25,0.25,1.1621929196612273,81.0,1.0,0.951229424500714,False,True
8,64.0,0.25,0.5,1.1621929196612273,81.0,1.0,0.951229424500714,False,True
8,64.0,0.25,0.75,1.1621929196612273,81.0,1.0,0.951229424500714,False,True
8,64.0,0.25,0.99,1.1621929196612273,81.0,1.0,0.951229424500714,False,True
8,64.0,0.1,0.1,0.021226673373957852,80.0420027750854,0.9996900507021904,0.951229424500714,True,True
8,64.0,0.1,0.25,0.021226673373957852,80.0420027750854,0.9973904118455832,0.951229424500714,True,True
8,64.0,0.1,0.5,0.021226673373957852,80.0420027750854,0.9886327152272545,0.951229424500714,True,True
8,64.0,0.1,0.75,0.021226673373957852,80.0420027750854,0.9738857482313659,0.951229424500714,True,True
8,64.0,0.1,0.99,0.021226673373957852,80.0420027750854,0.9543612577332169,0.951229424500714,True,True
8,64.0,0.044721359549995794,0.1,0.000641022628535848,80.00128163434707,0.9995067235508176,0.951229424500714,True,True
8,64.0,0.044721359549995794,0.25,0.000641022628535848,80.00128163434707,0.9968990993578953,0.951229424500714,True,True
8,64.0,0.044721359549995794,0.5,0.000641022628535848,80.00128163434707,0.9876351974853335,0.951229424500714,True,True
8,64.0,0.044721359549995794,0.75,0.000641022628535848,80.00128163434707,0.9723989617527447,0.951229424500714,True,True
8,64.0,0.044721359549995794,0.99,0.000641022628535848,80.00128163434707,0.9524288654204421,0.951229424500714,True,True
8,128.0,1.0,0.1,63.4044165336153,81.0,1.0,0.951229424500714,False,True
8,128.0,1.0,0.25,63.4044165336153,81.0,1.0,0.951229424500714,False,True
8,128.0,1.0,0.5,63.4044165336153,81.0,1.0,0.951229424500714,False,True
8,128.0,1.0,0.75,63.4044165336153,81.0,1.0,0.951229424500714,False,True
8,128.0,1.0,0.99,63.4044165336153,81.0,1.0,0.951229424500714,False,True
8,128.0,0.5,0.1,5.270334894749546,81.0,1.0,0.951229424500714,False,True
8,128.0,0.5,0.25,5.270334894749546,81.0,1.0,0.951229424500714,False,True
8,128.0,0.5,0.5,5.270334894749546,81.0,1.0,0.951229424500714,False,True
8,128.0,0.5,0.75,5.270334894749546,81.0,1.0,0.951229424500714,False,True
8,128.0,0.5,0.99,5.270334894749546,81.0,1.0,0.951229424500714,False,True
8,128.0,0.25,0.1,0.1536940477685889,80.28376623521768,1.0,0.951229424500714,False,True
8,128.0,0.25,0.25,0.1536940477685889,80.28376623521768,0.9995381886611652,0.951229424500714,True,True
8,128.0,0.25,0.5,0.1536940477685889,80.28376623521768,0.9940511478176098,0.951229424500714,True,True
8,128.0,0.25,0.75,0.1536940477685889,80.28376623521768,0.9824827970123869,0.951229424500714,True,True
8,128.0,0.25,0.99,0.1536940477685889,80.28376623521768,0.9658698366086471,0.951229424500714,True,True
8,128.0,0.1,0.1,0.00020316860418496382,80.00040629593089,0.9995023629915261,0.951229424500714,True,True
8,128.0,0.1,0.25,0.00020316860418496382,80.00040629593089,0.9968881886183678,0.951229424500714,True,True
8,128.0,0.1,0.5,0.00020316860418496382,80.00040629593089,0.987613527178342,0.951229424500714,True,True
8,128.0,0.1,0.75,0.00020316860418496382,80.00040629593089,0.9723668997812168,0.951229424500714,True,True
8,128.0,0.1,0.99,0.00020316860418496382,80.00040629593089,0.9523873466775549,0.951229424500714,True,True
8,128.0,0.044721359549995794,0.1,2.2924852388425984e-07,80.000000458497,0.9995003354144253,0.951229424500714,True,True
8,128.0,0.044721359549995794,0.25,2.2924852388425984e-07,80.000000458497,0.9968831251326687,0.951229424500714,True,True
8,128.0,0.044721359549995794,0.5,2.2924852388425984e-07,80.000000458497,0.9876034768866299,0.951229424500714,True,True
8,128.0,0.044721359549995794,0.75,2.2924852388425984e-07,80.000000458497,0.972352033309697,0.951229424500714,True,True
8,128.0,0.044721359549995794,0.99,2.2924852388425984e-07,80.000000458497,0.9523680974236414,0.951229424500714,True,True
8,256.0,1.0,0.1,34.48380361722079,81.0,1.0,0.951229424500714,False,True
8,256.0,1.0,0.25,34.48380361722079,81.0,1.0,0.951229424500714,False,True
8,256.0,1.0,0.5,34.48380361722079,81.0,1.0,0.951229424500714,False,True
8,256.0,1.0,0.75,34.48380361722079,81.0,1.0,0.951229424500714,False,True
8,256.0,1.0,0.99,34.48380361722079,81.0,1.0,0.951229424500714,False,True
8,256.0,0.5,0.1,1.2992822279399274,81.0,1.0,0.951229424500714,False,True
8,256.0,0.5,0.25,1.2992822279399274,81.0,1.0,0.951229424500714,False,True
8,256.0,0.5,0.5,1.2992822279399274,81.0,1.0,0.951229424500714,False,True
8,256.0,0.5,0.75,1.2992822279399274,81.0,1.0,0.951229424500714,False,True
8,256.0,0.5,0.99,1.2992822279399274,81.0,1.0,0.951229424500714,False,True
8,256.0,0.25,0.1,0.007852189174839553,80.01564272147485,0.9995757749403806,0.951229424500714,True,True
8,256.0,0.25,0.25,0.007852189174839553,80.01564272147485,0.9970760320604349,0.951229424500714,True,True
8,256.0,0.25,0.5,0.007852189174839553,80.01564272147485,0.9879893778963128,0.951229424500714,True,True
8,256.0,0.25,0.75,0.007852189174839553,80.01564272147485,0.9729243766693422,0.951229424500714,True,True
8,256.0,0.25,0.99,0.007852189174839553,80.01564272147485,0.9531101547940889,0.951229424500714,True,True
8,256.0,0.1,0.1,1.6612503916022255e-07,80.00000033225005,0.9995003347831132,0.951229424500714,True,True
8,256.0,0.1,0.25,1.6612503916022255e-07,80.00000033225005,0.9968831235570503,0.951229424500714,True,True
8,256.0,0.1,0.5,1.6612503916022255e-07,80.00000033225005,0.9876034737598957,0.951229424500714,True,True
8,256.0,0.1,0.75,1.6612503916022255e-07,80.00000033225005,0.9723520286849302,0.951229424500714,True,True
8,256.0,0.1,0.99,1.6612503916022255e-07,80.00000033225005,0.9523680914356571,0.951229424500714,True,True
8,256.0,0.044721359549995794,0.1,5.083353556626355e-13,80.00000000000102,0.9995003331216628,0.951229424500714,True,True
8,256.0,0.044721359549995794,0.25,5.083353556626355e-13,80.00000000000102,0.9968831194104321,0.951229424500714,True,True
8,256.0,0.044721359549995794,0.5,5.083353556626355e-13,80.00000000000102,0.9876034655311456,0.951229424500714,True,True
8,256.0,0.044721359549995794,0.75,5.083353556626355e-13,80.00000000000102,0.9723520165137498,0.951229424500714,True,True
8,256.0,0.044721359549995794,0.99,5.083353556626355e-13,80.00000000000102,0.9523680756768446,0.951229424500714,True,True
8,512.0,1.0,0.1,13.731363267247675,81.0,1.0,0.951229424500714,False,True
8,512.0,1.0,0.25,13.731363267247675,81.0,1.0,0.951229424500714,False,True
8,512.0,1.0,0.5,13.731363267247675,81.0,1.0,0.951229424500714,False,True
8,512.0,1.0,0.75,13.731363267247675,81.0,1.0,0.951229424500714,False,True
8,512.0,1.0,0.99,13.731363267247675,81.0,1.0,0.951229424500714,False,True
8,512.0,0.5,0.1,0.1654797877687263,80.30357601537747,1.0,0.951229424500714,False,True
8,512.0,0.5,0.25,0.1654797877687263,80.30357601537747,0.9996443550179154,0.951229424500714,True,True
8,512.0,0.5,0.5,0.1654797877687263,80.30357601537747,0.9944491555452897,0.951229424500714,True,True
8,512.0,0.5,0.75,0.1654797877687263,80.30357601537747,0.983165883112119,0.951229424500714,True,True
8,512.0,0.5,0.99,0.1654797877687263,80.30357601537747,0.9668154240839173,0.951229424500714,True,True
8,512.0,0.25,0.1,0.00010262199615417589,80.00020523346103,0.9995013589413934,0.951229424500714,True,True
8,512.0,0.25,0.25,0.00010262199615417589,80.00020523346103,0.9968856804219409,0.951229424500714,True,True
8,512.0,0.25,0.5,0.00010262199615417589,80.00020523346103,0.987608548252967,0.951229424500714,True,True
8,512.0,0.25,0.75,0.00010262199615417589,80.00020523346103,0.9723595346553349,0.951229424500714,True,True
8,512.0,0.25,0.99,0.00010262199615417589,80.00020523346103,0.9523778100716611,0.951229424500714,True,True
8,512.0,0.1,0.1,4.034125504666725e-12,80.00000000000807,0.999500333121698,0.951229424500714,True,True
8,512.0,0.1,0.25,4.034125504666725e-12,80.00000000000807,0.9968831194105201,0.951229424500714,True,True
8,512.0,0.1,0.5,4.034125504666725e-12,80.00000000000807,0.9876034655313203,0.951229424500714,True,True
8,512.0,0.1,0.75,4.034125504666725e-12,80.00000000000807,0.972352016514008,0.951229424500714,True,True
8,512.0,0.1,0.99,4.034125504666725e-12,80.00000000000807,0.952368075677179,0.951229424500714,True,True
8,512.0,0.044721359549995794,0.1,5.39348643350696e-22,80.0,0.9995003331216576,0.951229424500714,True,True
8,512.0,0.044721359549995794,0.25,5.39348643350696e-22,80.0,0.9968831194104194,0.951229424500714,True,True
8,512.0,0.044721359549995794,0.5,5.39348643350696e-22,80.0,0.9876034655311204,0.951229424500714,True,True
8,512.0,0.044721359549995794,0.75,5.39348643350696e-22,80.0,0.9723520165137125,0.951229424500714,True,True
8,512.0,0.044721359549995794,0.99,5.39348643350696e-22,80.0,0.9523680756767964,0.951229424500714,True,True
8,1024.0,1.0,0.1,3.449713099718058,81.0,1.0,0.951229424500714,False,True
8,1024.0,1.0,0.25,3.449713099718058,81.0,1.0,0.951229424500714,False,True
8,1024.0,1.0,0.5,3.449713099718058,81.0,1.0,0.951229424500714,False,True
8,1024.0,1.0,0.75,3.449713099718058,81.0,1.0,0.951229424500714,False,True
8,1024.0,1.0,0.99,3.449713099718058,81.0,1.0,0.951229424500714,False,True
8,1024.0,0.5,0.1,0.00813488854596212,80.01620360068027,0.9995783758089014,0.951229424500714,True,True
8,1024.0,0.5,0.25,0.00813488854596212,80.01620360068027,0.9970828623509026,0.951229424500714,True,True
8,1024.0,0.5,0.5,0.00813488854596212,80.01620360068027,0.9880031585314039,0.951229424500714,True,True
8,1024.0,0.5,0.75,0.00813488854596212,80.01620360068027,0.9729448736773513,0.951229424500714,True,True
8,1024.0,0.5,0.99,0.00813488854596212,80.01620360068027,0.9531367674384367,0.951229424500714,True,True
8,1024.0,0.25,0.1,1.931968301175089e-07,80.00000038639362,0.9995003350538643,0.951229424500714,True,True
8,1024.0,0.25,0.25,1.931968301175089e-07,80.00000038639362,0.9968831242327864,0.951229424500714,True,True
8,1024.0,0.25,0.5,1.931968301175089e-07,80.00000038639362,0.9876034751008592,0.951229424500714,True,True
8,1024.0,0.25,0.75,1.931968301175089e-07,80.00000038639362,0.9723520306683556,0.951229424500714,True,True
8,1024.0,0.25,0.99,1.931968301175089e-07,80.00000038639362,0.952368094003726,0.951229424500714,True,True
8,1024.0,0.1,0.1,6.832171154781313e-19,80.0,0.9995003331216576,0.951229424500714,True,True
8,1024.0,0.1,0.25,6.832171154781313e-19,80.0,0.9968831194104194,0.951229424500714,True,True
8,1024.0,0.1,0.5,6.832171154781313e-19,80.0,0.9876034655311204,0.951229424500714,True,True
8,1024.0,0.1,0.75,6.832171154781313e-19,80.0,0.9723520165137125,0.951229424500714,True,True
8,1024.0,0.1,0.99,6.832171154781313e-19,80.0,0.9523680756767964,0.951229424500714,True,True
8,1024.0,0.044721359549995794,0.1,8.363355937120393e-36,80.0,0.9995003331216576,0.951229424500714,True,True
8,1024.0,0.044721359549995794,0.25,8.363355937120393e-36,80.0,0.9968831194104194,0.951229424500714,True,True
8,1024.0,0.044721359549995794,0.5,8.363355937120393e-36,80.0,0.9876034655311204,0.951229424500714,True,True
8,1024.0,0.044721359549995794,0.75,8.363355937120393e-36,80.0,0.9723520165137125,0.951229424500714,True,True
8,1024.0,0.044721359549995794,0.99,8.363355937120393e-36,80.0,0.9523680756767964,0.951229424500714,True,True
8,2048.0,1.0,0.1,0.44466706591330735,80.69160533231866,1.0,0.951229424500714,False,True
8,2048.0,1.0,0.25,0.44466706591330735,80.69160533231866,1.0,0.951229424500714,False,True
8,2048.0,1.0,0.5,0.44466706591330735,80.69160533231866,0.9998482716179042,0.951229424500714,True,True
8,2048.0,1.0,0.75,0.44466706591330735,80.69160533231866,0.9953950002260642,0.951229424500714,True,True
8,2048.0,1.0,0.99,0.44466706591330735,80.69160533231866,0.9853988262269038,0.951229424500714,True,True
8,2048.0,0.5,0.1,0.00010271072030416535,80.00020541089111,0.9995013598278322,0.951229424500714,True,True
8,2048.0,0.5,0.25,0.00010271072030416535,80.00020541089111,0.9968856826356649,0.951229424500714,True,True
8,2048.0,0.5,0.5,0.00010271072030416535,80.00020541089111,0.9876085526468997,0.951229424500714,True,True
8,2048.0,0.5,0.75,0.00010271072030416535,80.00020541089111,0.9723595411548794,0.951229424500714,True,True
8,2048.0,0.5,0.99,0.00010271072030416535,80.00020541089111,0.9523778184873383,0.951229424500714,True,True
8,2048.0,0.25,0.1,2.3379040835907597e-11,80.00000000004675,0.9995003331218915,0.951229424500714,True,True
