matrix_name,family,param,q,mse,rmse,rel_rmse
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,6,0.000797422286028871,0.02823866650585454,0.004770045017880835
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,8,0.00030941217715511215,0.017590115893737372,0.002971303360428611
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,10,0.00017714791935296342,0.013309692684392206,0.002248258899390576
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,12,0.0001974407361566597,0.014051360651433715,0.00237354065058002
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,14,0.0002746884141181126,0.01657372662131582,0.002799615983330375
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,16,0.00042411835069685217,0.020594133890427444,0.003478738832842474
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,18,0.00046319799855444144,0.021522035186163073,0.0036354789165816007
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,20,0.0007850092444696571,0.02801801642639352,0.0047327730449989065
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,22,0.0008270982106255842,0.028759315197437928,0.004857992431999651
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,24,0.0010085742721480993,0.03175805838126915,0.005364536888727897
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,26,0.0019071165514028088,0.04367054558169395,0.007376781348259114
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,28,0.005007294795378193,0.07076224131115544,0.011953081302560042
"Step (r=4, drop=100.0)",Step Height Sweep,100.0,2,0.09210183420125288,0.3034828400441331,0.06118605646051072
"Step (r=4, drop=100.0)",Step Height Sweep,100.0,4,0.0018479183892243759,0.04298742129070289,0.008666818808609455
"Step (r=4, drop=100.0)",Step Height Sweep,100.0,6,4.1027110368879284e-05,0.00640524085174627,0.0012913792039811031
"Step (r=4, drop=100.0)",Step Height Sweep,100.0,8,3.631005429755518e-05,0.006025782463510874,0.0012148754966755796
"Step (r=4, drop=100.0)",Step Height Sweep,100.0,10,4.568007321229295e-05,0.006758703515637666,0.0013626418378301748
"Step (r=4, drop=100.0)",Step Height Sweep,100.0,12,5.846854332540608e-05,0.007646472606725671,0.001541627541678563
"Step (r=4, drop=100.0)",Step Height Sweep,100.0,14,8.327187295582625e-05,0.009125342347321893,0.0018397867635729626
"Step (r=4, drop=100.0)",Step Height Sweep,100.0,16,9.364349299030927e-05,0.009676956804197757,0.0019509993556850321
"Step (r=4, drop=100.0)",Step Height Sweep,100.0,18,0.00011389729184797386,0.010672267418312467,0.002151666818208159
"Step (r=4, drop=100.0)",Step Height Sweep,100.0,20,0.00017415256885165977,0.013196687798522013,0.0026606225400245998
"Step (r=4, drop=100.0)",Step Height Sweep,100.0,22,0.0002323944960287366,0.015244490677905136,0.0030734860237711975
"Step (r=4, drop=100.0)",Step Height Sweep,100.0,24,0.00034849259709674065,0.018667956425295743,0.0037637008921967228
"Step (r=4, drop=100.0)",Step Height Sweep,100.0,26,0.0002967891285241099,0.017227568851236958,0.003473300171620355
"Step (r=4, drop=100.0)",Step Height Sweep,100.0,28,0.0009118660848091516,0.030197120472143558,0.006088129127448299
"Step (r=4, drop=500.0)",Step Height Sweep,500.0,2,0.05403736278249482,0.23245937877937903,0.055453096082867144
"Step (r=4, drop=500.0)",Step Height Sweep,500.0,4,0.0016644248112240303,0.04079736279741658,0.00973219532381121
"Step (r=4, drop=500.0)",Step Height Sweep,500.0,6,7.096245007546397e-07,0.0008423921300407785,0.00020095232109751398
"Step (r=4, drop=500.0)",Step Height Sweep,500.0,8,1.2827902701099494e-06,0.0011326033154242263,0.0002701820886031075
"Step (r=4, drop=500.0)",Step Height Sweep,500.0,10,1.3209911684537906e-06,0.0011493437990670113,0.00027417552458659626
"Step (r=4, drop=500.0)",Step Height Sweep,500.0,12,1.8973854246317016e-06,0.0013774561425438203,0.0003285916370572091
"Step (r=4, drop=500.0)",Step Height Sweep,500.0,14,3.033212023070384e-06,0.0017416119036887591,0.0004154608548875857
"Step (r=4, drop=500.0)",Step Height Sweep,500.0,16,3.631944769572432e-06,0.0019057661896393356,0.00045461979714678816
"Step (r=4, drop=500.0)",Step Height Sweep,500.0,18,4.6174867860139764e-06,0.0021488338200088847,0.0005126034875975394
"Step (r=4, drop=500.0)",Step Height Sweep,500.0,20,6.139076347801704e-06,0.002477715953817488,0.0005910581950900497
"Step (r=4, drop=500.0)",Step Height Sweep,500.0,22,8.594877044175348e-06,0.0029317020728879236,0.0006993564105171574
"Step (r=4, drop=500.0)",Step Height Sweep,500.0,24,8.910428711896952e-06,0.002985034122400773,0.0007120787505727036
"Step (r=4, drop=500.0)",Step Height Sweep,500.0,26,1.870685253936853e-05,0.00432514190973759,0.0010317609517503795
"Step (r=4, drop=500.0)",Step Height Sweep,500.0,28,4.289029493292215e-05,0.006549068249218522,0.0015622777312067086
"Step (r=4, drop=1000.0)",Step Height Sweep,1000.0,2,0.06741777779476724,0.259649336210912,0.06339095122336724
"Step (r=4, drop=1000.0)",Step Height Sweep,1000.0,4,0.0004024811767764812,0.020061933525372902,0.004897932989592998
"Step (r=4, drop=1000.0)",Step Height Sweep,1000.0,6,2.01673470534648e-07,0.00044908069490309647,0.00010963884152907637
"Step (r=4, drop=1000.0)",Step Height Sweep,1000.0,8,4.0246543381469003e-07,0.0006344016344672277,0.00015488321153985066
"Step (r=4, drop=1000.0)",Step Height Sweep,1000.0,10,4.6925168010783397e-07,0.0006850194742544434,0.00016724108258165136
"Step (r=4, drop=1000.0)",Step Height Sweep,1000.0,12,6.187676094172755e-07,0.0007866178293283693,0.00019204536848837158
"Step (r=4, drop=1000.0)",Step Height Sweep,1000.0,14,8.301708389508941e-07,0.0009111371131453784,0.00022244558426400858
"Step (r=4, drop=1000.0)",Step Height Sweep,1000.0,16,8.147539965727139e-07,0.0009026372452833497,0.00022037042121175548
"Step (r=4, drop=1000.0)",Step Height Sweep,1000.0,18,1.3479571968876056e-06,0.0011610155885635669,0.0002834510714266523
"Step (r=4, drop=1000.0)",Step Height Sweep,1000.0,20,1.1904532429321012e-06,0.0010910789352435054,0.00026637669317468413
"Step (r=4, drop=1000.0)",Step Height Sweep,1000.0,22,2.4775775132417223e-06,0.0015740322465698478,0.00038428521644771706
"Step (r=4, drop=1000.0)",Step Height Sweep,1000.0,24,3.879818287205861e-06,0.0019697254344719878,0.00048088999865038805
"Step (r=4, drop=1000.0)",Step Height Sweep,1000.0,26,4.512765380900654e-06,0.0021243270418889494,0.0005186345317111697
"Step (r=4, drop=1000.0)",Step Height Sweep,1000.0,28,7.194918860405084e-06,0.002682334591434313,0.0006548668436118934
"Step (r=2, drop=100)",Step Location Sweep,2.0,2,0.0018699815100038546,0.04324328283102307,0.014511168735242646
"Step (r=2, drop=100)",Step Location Sweep,2.0,4,3.885298352987963e-05,0.006233216146571498,0.002091683270661577
"Step (r=2, drop=100)",Step Location Sweep,2.0,6,2.1693921091703602e-05,0.004657673356054888,0.00156297763626003
"Step (r=2, drop=100)",Step Location Sweep,2.0,8,3.152188072577415e-05,0.005614435031752896,0.0018840386012593617
"Step (r=2, drop=100)",Step Location Sweep,2.0,10,3.07438341496893e-05,0.005544712269332765,0.0018606417011183779
"Step (r=2, drop=100)",Step Location Sweep,2.0,12,7.198259426215078e-05,0.008484255669305987,0.002847065660840936
"Step (r=2, drop=100)",Step Location Sweep,2.0,14,6.945534113474418e-05,0.008333987109105953,0.002796639969498643
"Step (r=2, drop=100)",Step Location Sweep,2.0,16,0.00010256060733910614,0.010127221106458875,0.003398396344449288
"Step (r=2, drop=100)",Step Location Sweep,2.0,18,0.00012867898037142279,0.01134367578747836,0.003806602613247773
"Step (r=2, drop=100)",Step Location Sweep,2.0,20,0.00016062617183971173,0.012673838086377454,0.004252965800797805
"Step (r=2, drop=100)",Step Location Sweep,2.0,22,0.0001394398060561986,0.011808463323235527,0.003962571584978366
"Step (r=2, drop=100)",Step Location Sweep,2.0,24,0.0003199307986552962,0.01788660947902917,0.006002217945982945
"Step (r=2, drop=100)",Step Location Sweep,2.0,26,0.00034913501990592173,0.018685155067751556,0.006270186264346162
"Step (r=2, drop=100)",Step Location Sweep,2.0,28,0.0012732890866920005,0.03568317652188494,0.011974220309357367
"Step (r=4, drop=100)",Step Location Sweep,4.0,2,0.06511764845136377,0.25518159896701753,0.051447903017543865
"Step (r=4, drop=100)",Step Location Sweep,4.0,4,0.004017767601072501,0.06338586278558099,0.012779407819673589
"Step (r=4, drop=100)",Step Location Sweep,4.0,6,3.8002463239832005e-05,0.006164613794864363,0.0012428656844484605
"Step (r=4, drop=100)",Step Location Sweep,4.0,8,3.7920139696244857e-05,0.006157933070133586,0.0012415187641398363
"Step (r=4, drop=100)",Step Location Sweep,4.0,10,5.12839463839447e-05,0.0071612810574606485,0.001443806664810615
"Step (r=4, drop=100)",Step Location Sweep,4.0,12,4.9358540211157285e-05,0.00702556333763758,0.0014164442212978995
"Step (r=4, drop=100)",Step Location Sweep,4.0,14,8.108720721602551e-05,0.00900484354200702,0.0018154926495981896
"Step (r=4, drop=100)",Step Location Sweep,4.0,16,9.528895546010744e-05,0.009761606192635894,0.0019680657646443337
"Step (r=4, drop=100)",Step Location Sweep,4.0,18,0.00010978988478105612,0.010478066843700517,0.002112513476552524
"Step (r=4, drop=100)",Step Location Sweep,4.0,20,0.00014522818253908044,0.01205106561840406,0.0024296503262911415
"Step (r=4, drop=100)",Step Location Sweep,4.0,22,0.00024096354987332083,0.015523000672335257,0.003129637232325657
"Step (r=4, drop=100)",Step Location Sweep,4.0,24,0.00024880841905573363,0.015773662195436213,0.0031801738297250436
"Step (r=4, drop=100)",Step Location Sweep,4.0,26,0.0004363018482078104,0.02088783972094315,0.0042112580082546685
"Step (r=4, drop=100)",Step Location Sweep,4.0,28,0.0010423862360882002,0.03228600681546419,0.0065092755676339105
"Step (r=6, drop=100)",Step Location Sweep,6.0,2,0.11984052392021761,0.3461799010922177,0.04988183012856163
"Step (r=6, drop=100)",Step Location Sweep,6.0,4,0.07615654639439202,0.2759647557105654,0.0397643740216953
"Step (r=6, drop=100)",Step Location Sweep,6.0,6,0.009447008707334309,0.09719572370909282,0.014005147508514818
"Step (r=6, drop=100)",Step Location Sweep,6.0,8,8.340591407035994e-05,0.009132683837205793,0.0013159486797126505
"Step (r=6, drop=100)",Step Location Sweep,6.0,10,5.4627564548154567e-05,0.007391046241781644,0.0010649922538590265
"Step (r=6, drop=100)",Step Location Sweep,6.0,12,6.831476484890018e-05,0.008265274638443672,0.0011909617634645062
"Step (r=6, drop=100)",Step Location Sweep,6.0,14,8.840701765773036e-05,0.00940250060663281,0.0013548271767482435
"Step (r=6, drop=100)",Step Location Sweep,6.0,16,0.00010401961612388942,0.010199000741439791,0.0014695966486224484
"Step (r=6, drop=100)",Step Location Sweep,6.0,18,0.00013589804585265814,0.011657531722138188,0.0016797596141409495
"Step (r=6, drop=100)",Step Location Sweep,6.0,20,0.0001964243735447811,0.014015148002956697,0.0020194737756421754
"Step (r=6, drop=100)",Step Location Sweep,6.0,22,0.00024968875714974294,0.01580154287244581,0.0022768793764331137
"Step (r=6, drop=100)",Step Location Sweep,6.0,24,0.0003626518121205732,0.0190434191289425,0.0027440085200205336
"Step (r=6, drop=100)",Step Location Sweep,6.0,26,0.0005171488856258033,0.022740907757295075,0.0032767878612817115
"Step (r=6, drop=100)",Step Location Sweep,6.0,28,0.0009834121287922346,0.03135940255796074,0.00451864590172345
PowerLaw (alpha=0.0),Power Law Sweep,0.0,2,0.044297337592081945,0.21046932696258128,0.002104693269625813
PowerLaw (alpha=0.0),Power Law Sweep,0.0,4,0.16935441686249625,0.4115269333378998,0.004115269333378998
PowerLaw (alpha=0.0),Power Law Sweep,0.0,6,0.24178842512020982,0.49171986447591254,0.004917198644759126
PowerLaw (alpha=0.0),Power Law Sweep,0.0,8,0.2951250664660331,0.5432541453739981,0.00543254145373998
PowerLaw (alpha=0.0),Power Law Sweep,0.0,10,0.3878316900625615,0.6227613427811344,0.0062276134278113435
PowerLaw (alpha=0.0),Power Law Sweep,0.0,12,0.5440866279624392,0.7376222800068062,0.007376222800068062
PowerLaw (alpha=0.0),Power Law Sweep,0.0,14,0.5456748187588444,0.7386980565554808,0.007386980565554808
PowerLaw (alpha=0.0),Power Law Sweep,0.0,16,1.1051815349287497,1.05127614589543,0.0105127614589543
PowerLaw (alpha=0.0),Power Law Sweep,0.0,18,1.6142357593517285,1.2705257806718164,0.012705257806718164
PowerLaw (alpha=0.0),Power Law Sweep,0.0,20,1.5973396335660162,1.2638590244034404,0.012638590244034404
PowerLaw (alpha=0.0),Power Law Sweep,0.0,22,2.2273671463444416,1.4924366473470294,0.014924366473470294
PowerLaw (alpha=0.0),Power Law Sweep,0.0,24,2.7377540897988646,1.65461599466428,0.0165461599466428
PowerLaw (alpha=0.0),Power Law Sweep,0.0,26,5.651653410294565,2.3773206368293205,0.023773206368293207
PowerLaw (alpha=0.0),Power Law Sweep,0.0,28,9.976961825723997,3.158632904552854,0.031586329045528536
PowerLaw (alpha=0.5),Power Law Sweep,0.5,2,0.04101076598835507,0.2025111502815464,0.010893785160260011
