family,m,q,mse
"Step (r=20, eta=0.01)",160,53,0.000165157118874689
"Step (r=20, eta=0.01)",160,54,0.00016145604715939565
"Step (r=20, eta=0.01)",160,55,0.00019382376712878628
"Step (r=20, eta=0.01)",160,56,0.00019071532578950284
"Step (r=20, eta=0.01)",160,57,0.00021399047427571983
"Step (r=20, eta=0.01)",160,58,0.0002233077507455427
"Step (r=20, eta=0.01)",160,59,0.0002393267029951375
"Step (r=20, eta=0.01)",160,60,0.0002708213849453564
"Step (r=20, eta=0.01)",160,61,0.0002738079237525143
"Step (r=20, eta=0.01)",160,62,0.0002964558628784186
"Step (r=20, eta=0.01)",160,63,0.00025561390489799515
"Step (r=20, eta=0.01)",160,64,0.0003566542556235612
"Step (r=20, eta=0.01)",160,65,0.00036555031474784776
"Step (r=20, eta=0.01)",160,66,0.00041456121594308137
"Step (r=20, eta=0.01)",160,67,0.0004001351499594173
"Step (r=20, eta=0.01)",160,68,0.0004961018524514411
"Step (r=20, eta=0.01)",160,69,0.0005239914687106642
"Step (r=20, eta=0.01)",160,70,0.0006095637566926816
"Step (r=20, eta=0.01)",160,71,0.0006592409751565609
"Step (r=20, eta=0.01)",160,72,0.0007845855774877341
"Step (r=20, eta=0.01)",160,73,0.0008499165705536416
"Step (r=20, eta=0.01)",160,74,0.0010900511935285884
"Step (r=20, eta=0.01)",160,75,0.0012104241174963363
"Step (r=20, eta=0.01)",160,76,0.0018518671438688883
"Step (r=20, eta=0.01)",160,77,0.0021031075311293643
"Step (r=20, eta=0.01)",160,78,0.003936340823106005
"Step (r=20, eta=0.01)",160,79,0.007031567886506911
