setup_index,spectrum_family,setup_name,method,delta_q_category,observations,mse,median_relative_error,mean_delta_q_raw,mean_delta_q_safe,guard_activation_rate
15,step,step_r_25_eta_0.001,Sequential Forced Baseline (q=q0),positive,200,1.8096657764459607e-06,3.819141358380338e-05,11.0,0.0,1.0
15,step,step_r_25_eta_0.001,Sequential Unguarded (B<=q0),positive,200,3.426674483217768e-06,4.879305349530086e-05,11.0,11.0,0.0
15,step,step_r_25_eta_0.001,"Sequential Symmetric Guard [-4,+4]",positive,200,2.019945813685311e-06,3.801527099706305e-05,11.0,4.0,1.0
15,step,step_r_25_eta_0.001,"Sequential Asymmetric Guard [0,+4]",positive,200,2.019945813685311e-06,3.801527099706305e-05,11.0,4.0,1.0
16,step,step_r_25_eta_0.05,Sequential Forced Baseline (q=q0),positive,200,0.006143352926295849,0.0010873084788413918,7.0,0.0,1.0
16,step,step_r_25_eta_0.05,Sequential Unguarded (B<=q0),positive,200,0.006769757571268789,0.0012421763578836424,7.0,7.0,0.0
16,step,step_r_25_eta_0.05,"Sequential Symmetric Guard [-4,+4]",positive,200,0.007177214262769013,0.0013275388786937383,7.0,4.0,1.0
16,step,step_r_25_eta_0.05,"Sequential Asymmetric Guard [0,+4]",positive,200,0.007177214262769013,0.0013275388786937383,7.0,4.0,1.0
17,step,step_r_25_eta_0.1,Sequential Forced Baseline (q=q0),positive,200,0.03236053299580787,0.0016875573090776824,3.0,0.0,1.0
17,step,step_r_25_eta_0.1,Sequential Unguarded (B<=q0),positive,200,0.04030434860465551,0.0018251549942614874,3.0,3.0,0.0
17,step,step_r_25_eta_0.1,"Sequential Symmetric Guard [-4,+4]",positive,200,0.04030434860465551,0.0018251549942614874,3.0,3.0,0.0
17,step,step_r_25_eta_0.1,"Sequential Asymmetric Guard [0,+4]",positive,200,0.04030434860465551,0.0018251549942614874,3.0,3.0,0.0
18,step,step_r_30_eta_0.001,Sequential Forced Baseline (q=q0),positive,200,1.7707109468076056e-06,2.9472212985605554e-05,11.0,0.0,1.0
18,step,step_r_30_eta_0.001,Sequential Unguarded (B<=q0),positive,200,3.7281884761557184e-06,3.795762732523163e-05,11.0,11.0,0.0
18,step,step_r_30_eta_0.001,"Sequential Symmetric Guard [-4,+4]",positive,200,2.3383811980943786e-06,3.782028756466319e-05,11.0,4.0,1.0
18,step,step_r_30_eta_0.001,"Sequential Asymmetric Guard [0,+4]",positive,200,2.3383811980943786e-06,3.782028756466319e-05,11.0,4.0,1.0
19,step,step_r_30_eta_0.05,Sequential Forced Baseline (q=q0),positive,200,0.008879208878757306,0.0011187764171713553,3.0,0.0,1.0
19,step,step_r_30_eta_0.05,Sequential Unguarded (B<=q0),positive,200,0.009780994644270792,0.0013441774835144396,3.0,3.0,0.0
19,step,step_r_30_eta_0.05,"Sequential Symmetric Guard [-4,+4]",positive,200,0.009780994644270792,0.0013441774835144396,3.0,3.0,0.0
19,step,step_r_30_eta_0.05,"Sequential Asymmetric Guard [0,+4]",positive,200,0.009780994644270792,0.0013441774835144396,3.0,3.0,0.0
20,step,step_r_30_eta_0.1,Sequential Forced Baseline (q=q0),zero,199,0.055500793713595516,0.0021408706446451693,0.0,0.0,0.0
20,step,step_r_30_eta_0.1,Sequential Forced Baseline (q=q0),negative,1,0.08109649600575469,0.0036983696773704613,-1.0,0.0,1.0
20,step,step_r_30_eta_0.1,Sequential Unguarded (B<=q0),zero,199,0.055500793713595516,0.0021408706446451693,0.0,0.0,0.0
20,step,step_r_30_eta_0.1,Sequential Unguarded (B<=q0),negative,1,0.017215663119912614,0.0017040061296393994,-1.0,-1.0,0.0
20,step,step_r_30_eta_0.1,"Sequential Symmetric Guard [-4,+4]",zero,199,0.055500793713595516,0.0021408706446451693,0.0,0.0,0.0
20,step,step_r_30_eta_0.1,"Sequential Symmetric Guard [-4,+4]",negative,1,0.017215663119912614,0.0017040061296393994,-1.0,-1.0,0.0
20,step,step_r_30_eta_0.1,"Sequential Asymmetric Guard [0,+4]",zero,199,0.055500793713595516,0.0021408706446451693,0.0,0.0,0.0
20,step,step_r_30_eta_0.1,"Sequential Asymmetric Guard [0,+4]",negative,1,0.08109649600575469,0.0036983696773704613,-1.0,0.0,1.0
21,misspecified,smooth_elbow,Sequential Forced Baseline (q=q0),negative,200,0.02750641877455191,0.0031758952707906887,-1.0,0.0,1.0
21,misspecified,smooth_elbow,Sequential Unguarded (B<=q0),negative,200,0.02752627352860445,0.002981833872988464,-1.0,-1.0,0.0
21,misspecified,smooth_elbow,"Sequential Symmetric Guard [-4,+4]",negative,200,0.02752627352860445,0.002981833872988464,-1.0,-1.0,0.0
21,misspecified,smooth_elbow,"Sequential Asymmetric Guard [0,+4]",negative,200,0.02750641877455191,0.0031758952707906887,-1.0,0.0,1.0
22,misspecified,power_exponential_mixture,Sequential Forced Baseline (q=q0),negative,122,0.00018805589745602195,0.0010556340571006998,-20.475409836065573,0.0,1.0
22,misspecified,power_exponential_mixture,Sequential Forced Baseline (q=q0),positive,78,0.00015332821779289078,0.0011745726123691908,10.0,0.0,1.0
22,misspecified,power_exponential_mixture,Sequential Unguarded (B<=q0),negative,122,0.0007136697404772363,0.0021247746838496326,-20.475409836065573,-20.475409836065573,0.0
22,misspecified,power_exponential_mixture,Sequential Unguarded (B<=q0),positive,78,0.0001289977108968131,0.0007942843304820624,10.0,10.0,0.0
22,misspecified,power_exponential_mixture,"Sequential Symmetric Guard [-4,+4]",negative,122,0.00016739093630728798,0.001029653047794859,-20.475409836065573,-4.0,1.0
22,misspecified,power_exponential_mixture,"Sequential Symmetric Guard [-4,+4]",positive,78,9.333154955883467e-05,0.0008112156410063594,10.0,4.0,1.0
22,misspecified,power_exponential_mixture,"Sequential Asymmetric Guard [0,+4]",negative,122,0.00018805589745602195,0.0010556340571006998,-20.475409836065573,0.0,1.0
22,misspecified,power_exponential_mixture,"Sequential Asymmetric Guard [0,+4]",positive,78,9.333154955883467e-05,0.0008112156410063594,10.0,4.0,1.0
23,misspecified,lognormal_shaped_decay,Sequential Forced Baseline (q=q0),negative,176,1.6023221547685266e-05,0.00044983942467127005,-3.335227272727273,0.0,1.0
23,misspecified,lognormal_shaped_decay,Sequential Forced Baseline (q=q0),zero,8,1.3488842645187281e-05,0.000378121931860681,0.0,0.0,0.0
23,misspecified,lognormal_shaped_decay,Sequential Forced Baseline (q=q0),positive,16,2.61267704144981e-05,0.0004653727564588929,1.0,0.0,1.0
23,misspecified,lognormal_shaped_decay,Sequential Unguarded (B<=q0),negative,176,2.038216734287915e-05,0.000482776072779922,-3.335227272727273,-3.335227272727273,0.0
23,misspecified,lognormal_shaped_decay,Sequential Unguarded (B<=q0),zero,8,1.3488842645187281e-05,0.000378121931860681,0.0,0.0,0.0
23,misspecified,lognormal_shaped_decay,Sequential Unguarded (B<=q0),positive,16,1.2240410671986278e-05,0.0005369717699159862,1.0,1.0,0.0
23,misspecified,lognormal_shaped_decay,"Sequential Symmetric Guard [-4,+4]",negative,176,1.8923963690553103e-05,0.00046461344205082016,-3.335227272727273,-2.5795454545454546,0.25
23,misspecified,lognormal_shaped_decay,"Sequential Symmetric Guard [-4,+4]",zero,8,1.3488842645187281e-05,0.000378121931860681,0.0,0.0,0.0
23,misspecified,lognormal_shaped_decay,"Sequential Symmetric Guard [-4,+4]",positive,16,1.2240410671986278e-05,0.0005369717699159862,1.0,1.0,0.0
23,misspecified,lognormal_shaped_decay,"Sequential Asymmetric Guard [0,+4]",negative,176,1.6023221547685266e-05,0.00044983942467127005,-3.335227272727273,0.0,1.0
23,misspecified,lognormal_shaped_decay,"Sequential Asymmetric Guard [0,+4]",zero,8,1.3488842645187281e-05,0.000378121931860681,0.0,0.0,0.0
23,misspecified,lognormal_shaped_decay,"Sequential Asymmetric Guard [0,+4]",positive,16,1.2240410671986278e-05,0.0005369717699159862,1.0,1.0,0.0
