step_rank,basis_trial,eta,budget,s,pair,accounting_feasible,truth_label,dangerous_error_q90,dangerous_error_q95,dangerous_error_q975,dangerous_error_q99,shifted_error_q90,shifted_error_q95,shifted_error_q975,shifted_error_q99
5,10,1e-10,240,4,right,True,1,2.257971810396318e-22,3.0868798587347605e-22,3.916038761413367e-22,4.858865797551603e-22,7.258725968841297e-22,1.1136904535641784e-21,1.746953697520912e-21,1.889485986592295e-21
5,11,1e-10,80,4,left,True,1,0.02935011880443257,0.029831508010844766,0.030034290731685166,0.03005953441589378,0.02935011880443257,0.029831508010844766,0.030034290731685166,0.03005953441589378
5,11,1e-10,160,4,left,True,1,0.013267861925291434,0.013485476224080509,0.013577145125282332,0.0135885566537602,0.013267861925291434,0.013485476224080509,0.013577145125282332,0.0135885566537602
5,11,1e-10,240,4,left,True,1,0.008571273633152875,0.008711856321751126,0.008771076054385932,0.00877844810375659,0.008571273633152875,0.008711856321751126,0.008771076054385932,0.00877844810375659
5,11,1e-10,80,4,primary,True,1,7.789518990122888e-22,9.139120036028721e-22,1.0593624488339336e-21,1.4119373972689305e-21,2.376331946170818e-21,3.4911045238170504e-21,5.025263748326252e-21,5.21317960029471e-21
5,11,1e-10,160,4,primary,True,1,3.6264581132022754e-22,4.220778220493561e-22,4.949774457922364e-22,6.693018455576619e-22,1.0918179192780581e-21,1.6560774349174816e-21,2.332036606097401e-21,2.5176073824625925e-21
5,11,1e-10,240,4,primary,True,1,2.3263183149393026e-22,2.7583351481312393e-22,3.241430091365177e-22,4.378188485782333e-22,7.088619369946982e-22,1.0850620520523062e-21,1.527780296492437e-21,1.6347552458798674e-21
5,11,1e-10,80,4,right,True,1,7.090280864119288e-22,8.582635928587502e-22,9.233578552238426e-22,1.3371237825799413e-21,2.6274854401971548e-21,3.605155951498601e-21,5.32702525694951e-21,7.38249954398011e-21
5,11,1e-10,160,4,right,True,1,3.041121493757046e-22,3.669964058627559e-22,3.8875129663706836e-22,5.977967965661165e-22,1.1592359816252659e-21,1.6178876943427108e-21,2.4362242558153697e-21,3.3625411243210745e-21
5,11,1e-10,240,4,right,True,1,1.9368092606212402e-22,2.3539630072170262e-22,2.474719143673872e-22,3.93106279020036e-22,7.437871061285359e-22,1.043221868126575e-21,1.5738913062709232e-21,2.177369022839483e-21
5,12,1e-10,80,4,left,True,1,0.029574329583908297,0.029927312639018145,0.029993683223686823,0.03007518804009972,0.029574329583908297,0.029927312639018145,0.029993683223686823,0.03007518804009972
5,12,1e-10,160,4,left,True,1,0.013369217483136627,0.013528785165583547,0.013558788306598152,0.01359563294963412,0.013369217483136627,0.013528785165583547,0.013558788306598152,0.01359563294963412
5,12,1e-10,240,4,left,True,1,0.008636751117424547,0.008739834664492026,0.008759217224616506,0.008783019516135316,0.008636751117424547,0.008739834664492026,0.008759217224616506,0.008783019516135316
5,12,1e-10,80,4,primary,True,1,6.901350163749799e-22,8.119587302825274e-22,9.945632781857858e-22,1.311743331169839e-21,2.3302135480909736e-21,3.1393378360178296e-21,3.952620251218308e-21,5.641375961169084e-21
5,12,1e-10,160,4,primary,True,1,2.898504338588435e-22,3.732377279818983e-22,5.029375027005173e-22,5.856697931503349e-22,1.07437222709688e-21,1.4436509008542415e-21,1.8191378102463373e-21,2.5943391795793584e-21
5,12,1e-10,240,4,primary,True,1,1.8610362964096894e-22,2.436171696885295e-22,3.2568482072486975e-22,3.9553223843379647e-22,6.982438570484792e-22,9.375288317457952e-22,1.1816578935788773e-21,1.6848231415332061e-21
5,12,1e-10,80,4,right,True,1,7.256106278545146e-22,8.4151144420741205e-22,9.422223219318148e-22,1.146427653229046e-21,2.8985277175042496e-21,4.469327209006067e-21,5.736301426757535e-21,6.951635784717297e-21
5,12,1e-10,160,4,right,True,1,3.2107321850336093e-22,3.753730278337805e-22,4.502305980455559e-22,5.080838650536675e-22,1.2947761834758971e-21,2.035594383007082e-21,2.595031613076675e-21,3.2057301791698617e-21
5,12,1e-10,240,4,right,True,1,2.088443456104904e-22,2.389925741443224e-22,3.0479771813179085e-22,3.2639505154367124e-22,8.37069625675399e-22,1.3181092854706824e-21,1.6771400732106258e-21,2.0767374857705888e-21
5,13,1e-10,80,4,left,True,1,0.02904104457257589,0.02958514064311047,0.02989113043966891,0.02994095948816753,0.02904104457257589,0.02958514064311047,0.02989113043966891,0.02994095948816753
5,13,1e-10,160,4,left,True,1,0.013128143436917868,0.013374104674282815,0.013512428828891424,0.013534954289171626,0.013128143436917868,0.013374104674282815,0.013512428828891424,0.013534954289171626
5,13,1e-10,240,4,left,True,1,0.008481013016769953,0.008639908329403943,0.00872926818149623,0.008743820027517953,0.008481013016769953,0.008639908329403943,0.00872926818149623,0.008743820027517953
5,13,1e-10,80,4,primary,True,1,7.19494631465731e-22,1.0195390673819909e-21,1.1219369824548398e-21,1.208692713995546e-21,2.7276678960170717e-21,3.727112230758722e-21,4.171342613179845e-21,4.996629364552527e-21
5,13,1e-10,160,4,primary,True,1,3.416684235029692e-22,4.844776183475783e-22,5.486530530086803e-22,5.579655873180705e-22,1.2476465648454733e-21,1.7038037716301863e-21,1.917351290156569e-21,2.3208271765296667e-21
