matrix_name,family,param,trial,gamma_gap,tau_ratio,gap_loc,kappa,decay_slope,top4_energy
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,9,1.7942687715431125,6.015074719494655,4,9.546582726306909,-1.3778763559160692,0.8921924343551877
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,10,1.6867039603526006,5.401647287829018,4,9.7193548098964,-1.393620846652521,0.8927711331434073
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,11,1.9258473804786593,6.86096004693465,4,9.493095813357163,-1.3697799923774285,0.8944298079842397
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,12,1.9045027411803082,6.716067173532966,4,9.769221888635563,-1.3806085394532681,0.8937578472580273
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,13,1.7031677280667665,5.491314861704202,4,9.698196409478303,-1.397743355150354,0.8948239993103214
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,14,2.0558150259183106,7.813203241460073,4,9.292345383242141,-1.3576372281220745,0.8959766503761596
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,15,1.9514323854617093,7.038762584416533,4,9.617320538249027,-1.3798917193738656,0.8963227917235481
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,16,2.0973465559362663,8.14453016012274,4,9.671693792793192,-1.3874602955503863,0.9006787905903738
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,17,1.8338700903597256,6.258059107796513,4,9.558497543242401,-1.3759408226952603,0.893350033245004
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,18,1.762816006532312,5.828828323724377,4,9.585925977398157,-1.3786487191774754,0.89206076683806
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,19,1.7314536989009301,5.648859683733737,4,9.512385130448234,-1.3791981814293461,0.8917818436671066
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,20,2.1237111664574995,8.362113168086161,4,9.739522653772914,-1.3906885727178167,0.9017044111210298
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,21,1.5813385032684657,4.861458536447653,4,9.667457472786419,-1.384704355052641,0.8890052393639613
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,22,1.8077112790665204,6.096478315082758,4,9.529551916875713,-1.3586956822545877,0.8885747838913449
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,23,1.7244403560502062,5.609380895016443,4,9.542568435344045,-1.384347625498655,0.8933171336683787
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,24,1.6866742456037174,5.401486781621017,4,9.644475726387654,-1.3906652097165657,0.8929807227503639
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,25,1.9919784888462377,7.3300217917388695,4,9.523551464484985,-1.3762762273395321,0.8974314041928663
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,26,1.6931042942096228,5.4363305075440485,4,9.58527178256853,-1.3858567005272175,0.8921392862261592
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,27,2.010461664534483,7.466763691714322,4,9.35699905138491,-1.36828648265191,0.8969967395639815
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,28,1.8082811310760094,6.0999533955481695,4,9.433335854110679,-1.3613990259842672,0.8900327306276428
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,29,1.7099939884485331,5.528928240087428,4,9.488022860020976,-1.3698043423859416,0.8894197789864404
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,30,2.1660991348113647,8.72418570515807,4,9.767443368448035,-1.3909019852513094,0.9027078664543581
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,31,1.7958324505888592,6.024487723332587,4,9.610210260965092,-1.3823843491169623,0.8937322005240665
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,32,1.5055614504600254,4.506683199463675,4,9.364844757424345,-1.3700465525967014,0.8864797665558355
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,33,1.4195660113527078,4.135325366496833,4,9.526410955879504,-1.3368462749662586,0.8728424014246424
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,34,1.4795907718722874,4.391148331770608,4,9.451542524015048,-1.3755957459140291,0.8870612012095244
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,35,2.077297999250965,7.982870026540518,4,9.460819803998707,-1.3769383490233575,0.9000396011031019
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,36,2.1229081256682063,8.355400745662726,4,9.524641974691944,-1.3769536918973762,0.9003602862516109
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,37,1.8991483894423702,6.6802030877378,4,9.480617585634853,-1.366652252485706,0.8929085121621384
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,38,1.7723114934181137,5.884439496367717,4,9.596347812726437,-1.377905293481032,0.8919652810254847
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,39,2.079662717451369,8.001769601861579,4,9.695829361295317,-1.3823423581204664,0.8993936647563936
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,40,2.19171331165176,8.95053504130877,4,9.638295240992887,-1.3817704510661408,0.9024972697851312
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,41,2.0017245790994673,7.401810105128868,4,9.752466675169194,-1.384221290689969,0.8974106282888153
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,42,1.823531297774795,6.193691646965671,4,9.584224361839102,-1.3748000005696277,0.8930668857339333
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,43,2.0984835156638733,8.153795429035805,4,9.551555840421736,-1.3748851307445706,0.8988597407023816
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,44,1.747971059680916,5.742938767304697,4,9.429091835085087,-1.3517539194893873,0.8862626628104531
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,45,1.476413355301734,4.377217967302979,4,9.618658157392854,-1.3798285539730153,0.8864711795524135
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,46,1.7025126620636442,5.487718865961729,4,9.263394791144288,-1.3679326761533341,0.8906596848206099
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,47,1.881162404735996,6.561127116494327,4,9.533704847722886,-1.3704070025961168,0.8938999234937329
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,48,2.03271336305537,7.63477419351695,4,9.380566426903256,-1.3655297095238437,0.8966867231303108
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,49,1.811637208605748,6.120459703203277,4,9.443465035284277,-1.362644720535433,0.8897937764198889
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,0,3.89563309740338,49.187183785683416,4,49.849759006882884,-2.3973056884432147,0.9802396634736676
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,1,3.889013087189564,48.86263955494364,4,49.885146533135746,-2.3977420209117257,0.9802072924418148
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,2,3.866792814823094,47.78887227602231,4,49.87208818905942,-2.3973739417287963,0.9800649427756055
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,3,3.880131354019732,48.43057620441823,4,49.92485345390644,-2.398191380105196,0.9801725518115952
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,4,3.865558551787425,47.72992462339348,4,49.79276640828473,-2.397447298812448,0.9801017719836884
