eta,budget,s,pair,step_rank,scope,eligible_paths,true_better_paths,true_worse_paths,truth_tie_paths,covariance_contribution,pairing_variance_ratio,shifted_variance_ratio,dangerous_error_q95,dangerous_error_q99,zero_radius_accept_probability,batch_pairing_ratio_std
1e-06,80,32,left,15,rank,200,0,200,0,-2.2529245693675668e-08,1.0000000225292456,0.9999999718358649,0.07667860283877324,0.08734580412172116,0.0,1.0409766982590015e-07
1e-06,80,32,primary,5,rank,200,8,192,0,0.6211671982423423,0.3788328017576576,1.0085217691508965,1.785055211869348e-10,2.2201961496138343e-10,0.041375,0.049289442672142025
1e-06,80,32,primary,15,rank,200,7,193,0,0.500416725431637,0.499583274568363,0.994098937958708,4.325551501301635e-08,6.201972723188342e-08,0.034300000000000004,0.02518495437084356
1e-06,80,32,right,5,rank,200,0,200,0,0.6569019467640406,0.3430980532359594,1.0032014655524324,1.1246181304525262e-13,1.391457660367205e-13,0.0,0.04605497049824594
1e-06,80,32,right,15,rank,200,0,200,0,0.4856540192756343,0.5143459807243658,1.0004674178807136,7.011970116663128e-13,8.847455642860172e-13,0.0,0.02095337257644723
1e-06,160,4,left,5,rank,200,0,200,0,-8.002255799488375e-10,1.0000000008002257,0.9999999999571082,0.013413612565631729,0.013571022548373493,0.0,1.6111367323311654e-09
1e-06,160,4,left,15,rank,200,0,200,0,1.7780364394671745e-07,0.999999822196356,0.9999998507601127,0.015545745695536605,0.015722828127067528,0.0,1.5540814811871245e-07
1e-06,160,4,left,30,rank,200,0,200,0,-2.3938796025569387e-11,1.0000000000239389,1.0000000000387121,0.02040800357290445,0.020638853936403107,0.0,2.998976603576605e-11
1e-06,160,4,primary,5,rank,200,12,188,0,0.8045763263261179,0.19542367367388208,1.000899728773176,1.6653067449339062e-10,4.285802885982181e-10,0.37042500000000006,0.0775656318241677
1e-06,160,4,primary,15,rank,200,16,184,0,0.8790989073719555,0.12090109262804458,1.002027331021397,4.397014756274117e-08,1.0264140994234287e-07,0.379825,0.03876773187758414
1e-06,160,4,primary,30,rank,200,16,184,0,0.901812201421937,0.09818779857806302,0.9988272987856539,1.6204312604383373e-11,4.682159858250986e-11,0.340075,0.023616399137012623
1e-06,160,4,right,5,rank,200,0,200,0,0.8636724834918279,0.13632751650817215,0.9996417747622509,4.533425024850903e-14,7.176942445341162e-14,0.3416499999999999,0.06776695650962042
1e-06,160,4,right,15,rank,200,1,199,0,0.9336419063874394,0.06635809361256055,1.0026804296706835,9.430199312894693e-14,1.5781527320471104e-13,0.33777500000000005,0.030600974712994503
1e-06,160,4,right,30,rank,200,0,200,0,0.9613940391762859,0.038605960823714175,1.002329084622087,1.741249713220236e-13,3.0068398330114303e-13,0.2919,0.01713618502291297
1e-06,160,8,left,5,rank,200,0,200,0,-3.0755485165004234e-10,1.0000000003075549,0.9999999991381262,0.012986128116151279,0.013587092591822664,0.0,1.1807359613264116e-09
1e-06,160,8,left,15,rank,200,0,200,0,6.696940939394585e-08,0.9999999330305905,0.9999998701493523,0.01515927420902616,0.015834871482335585,0.0,1.2355329876634728e-07
1e-06,160,8,left,30,rank,200,0,200,0,-2.4641657780049272e-11,1.0000000000246416,1.0000000000290212,0.020100164329270663,0.02098862220075816,0.0,7.394241336089613e-11
1e-06,160,8,primary,5,rank,200,11,189,0,0.80501289794486,0.19498710205514005,0.9986180916665538,1.3978032271263187e-10,2.2519439154744235e-10,0.256625,0.06265490688012681
1e-06,160,8,primary,15,rank,200,14,186,0,0.8786024934032522,0.12139750659674778,1.0106528310919065,3.5101781510894366e-08,6.663305837608832e-08,0.26525,0.030360220162551303
1e-06,160,8,primary,30,rank,200,16,184,0,0.8965560814223343,0.1034439185776656,0.9919228833479832,1.5491796611610148e-11,3.710283847269135e-11,0.20525,0.019409216719396185
1e-06,160,8,right,5,rank,200,0,200,0,0.8629014059784574,0.1370985940215426,0.9967321647972912,3.238105244724884e-14,4.4795661827651544e-14,0.220625,0.058537541130934574
1e-06,160,8,right,15,rank,200,0,200,0,0.9333706808650696,0.06662931913493036,1.0120830013221391,6.651927908591162e-14,9.788881133863338e-14,0.211225,0.024111302087520867
1e-06,160,8,right,30,rank,200,0,200,0,0.9573627704051216,0.0426372295948783,0.9970899185804156,1.2662594707419813e-13,1.915591542682069e-13,0.13765,0.014665304482563923
1e-06,160,16,left,5,rank,200,0,200,0,-5.005910078411404e-10,1.000000000500591,0.9999999999408482,0.01225279231331957,0.013381784921874479,0.0,3.628177393567033e-10
1e-06,160,16,left,15,rank,200,0,200,0,1.5307712402440965e-08,0.9999999846922876,0.999999889616555,0.01439804861199959,0.015754145070716773,0.0,1.5607171387398168e-07
1e-06,160,16,left,30,rank,200,0,200,0,5.24470409585213e-11,0.999999999947553,1.0000000000190246,0.01952061213727914,0.021358902443061236,0.0,5.931854848431563e-11
1e-06,160,16,primary,5,rank,200,11,189,0,0.794164394746496,0.20583560525350383,1.0028157042566443,9.360583613741933e-11,1.6596278939056676e-10,0.10945,0.05403050691847486
1e-06,160,16,primary,15,rank,200,14,186,0,0.8677692265689153,0.1322307734310847,1.0026345012248123,2.0512120178588424e-08,3.554318895244156e-08,0.11290000000000001,0.027366861798328795
