spectrum_index,rank_index,setup_name,step_rank,eta,orientation_seed,budget,analysis_role,risk_name,q,bootstrap_count,bootstrap_frequency,bootstrap_samples,bootstrap_seed
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,25,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,26,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,27,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,28,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,29,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,30,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,31,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,32,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,33,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,34,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,35,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,36,0,0.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rademacher_risk,0,0,0.0,20000,20260818
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rademacher_risk,1,0,0.0,20000,20260818
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rademacher_risk,2,0,0.0,20000,20260818
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rademacher_risk,3,0,0.0,20000,20260818
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rademacher_risk,4,0,0.0,20000,20260818
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rademacher_risk,5,20000,1.0,20000,20260818
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rademacher_risk,6,0,0.0,20000,20260818
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rademacher_risk,7,0,0.0,20000,20260818
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rademacher_risk,8,0,0.0,20000,20260818
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rademacher_risk,9,0,0.0,20000,20260818
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rademacher_risk,10,0,0.0,20000,20260818
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rademacher_risk,11,0,0.0,20000,20260818
