alpha,trial,extrapolation_dist,target_q,alpha_hat,delta_alpha,loss_pilot,log_tail_error,theoretical_exponent
0.05,20,20,30,0.09442410509825869,0.044424105098258684,0.0022261386742424487,3.1578644984813353,2.665446305895521
0.05,20,30,40,0.09442410509825869,0.044424105098258684,0.0022261386742424487,4.04634660044651,3.5539284078606945
0.05,20,40,50,0.09442410509825869,0.044424105098258684,0.0022261386742424487,4.934828702411682,4.442410509825868
0.05,20,50,60,0.09442410509825869,0.044424105098258684,0.0022261386742424487,5.823310804376856,5.330892611791042
0.05,20,60,70,0.09442410509825869,0.044424105098258684,0.0022261386742424487,6.711792906342031,6.219374713756216
0.05,20,70,80,0.09442410509825869,0.044424105098258684,0.0022261386742424487,7.600275008307205,7.107856815721389
0.05,21,10,20,0.09132620057421331,0.04132620057421331,0.0006430011634753655,2.115109596676164,1.6530480229685325
0.05,21,20,30,0.09132620057421331,0.04132620057421331,0.0006430011634753655,2.94163360816043,2.4795720344527985
0.05,21,30,40,0.09132620057421331,0.04132620057421331,0.0006430011634753655,3.7681576196446964,3.306096045937065
0.05,21,40,50,0.09132620057421331,0.04132620057421331,0.0006430011634753655,4.594681631128962,4.132620057421331
0.05,21,50,60,0.09132620057421331,0.04132620057421331,0.0006430011634753655,5.421205642613229,4.959144068905597
0.05,21,60,70,0.09132620057421331,0.04132620057421331,0.0006430011634753655,6.247729654097495,5.785668080389863
0.05,21,70,80,0.09132620057421331,0.04132620057421331,0.0006430011634753655,7.07425366558176,6.61219209187413
0.05,22,10,20,0.07398455062912314,0.023984550629123136,0.0022769009859617446,1.227726252509938,0.9593820251649254
0.05,22,20,30,0.07398455062912314,0.023984550629123136,0.0022769009859617446,1.7074172650924004,1.4390730377473882
0.05,22,30,40,0.07398455062912314,0.023984550629123136,0.0022769009859617446,2.1871082776748634,1.9187640503298509
0.05,22,40,50,0.07398455062912314,0.023984550629123136,0.0022769009859617446,2.6667992902573254,2.398455062912314
0.05,22,50,60,0.07398455062912314,0.023984550629123136,0.0022769009859617446,3.1464903028397884,2.8781460754947763
0.05,22,60,70,0.07398455062912314,0.023984550629123136,0.0022769009859617446,3.6261813154222517,3.357837088077239
0.05,22,70,80,0.07398455062912314,0.023984550629123136,0.0022769009859617446,4.105872328004714,3.8375281006597017
0.05,23,10,20,0.08067386819155721,0.030673868191557208,0.003119792614677365,1.5753404076436308,1.2269547276622883
0.05,23,20,30,0.08067386819155721,0.030673868191557208,0.003119792614677365,2.1888177714747745,1.8404320914934325
0.05,23,30,40,0.08067386819155721,0.030673868191557208,0.003119792614677365,2.802295135305919,2.4539094553245766
0.05,23,40,50,0.08067386819155721,0.030673868191557208,0.003119792614677365,3.4157724991370633,3.067386819155721
0.05,23,50,60,0.08067386819155721,0.030673868191557208,0.003119792614677365,4.029249862968207,3.680864182986865
0.05,23,60,70,0.08067386819155721,0.030673868191557208,0.003119792614677365,4.642727226799351,4.294341546818009
0.05,23,70,80,0.08067386819155721,0.030673868191557208,0.003119792614677365,5.256204590630495,4.907818910649153
0.05,24,10,20,0.08989880696263856,0.03989880696263856,0.0008378462632578248,2.043645108076597,1.5959522785055424
0.05,24,20,30,0.08989880696263856,0.03989880696263856,0.0008378462632578248,2.841621247329368,2.3939284177583136
0.05,24,30,40,0.08989880696263856,0.03989880696263856,0.0008378462632578248,3.6395973865821394,3.191904557011085
0.05,24,40,50,0.08989880696263856,0.03989880696263856,0.0008378462632578248,4.43757352583491,3.989880696263856
0.05,24,50,60,0.08989880696263856,0.03989880696263856,0.0008378462632578248,5.235549665087682,4.787856835516627
0.05,24,60,70,0.08989880696263856,0.03989880696263856,0.0008378462632578248,6.033525804340452,5.585832974769398
0.05,24,70,80,0.08989880696263856,0.03989880696263856,0.0008378462632578248,6.831501943593225,6.38380911402217
0.05,25,10,20,0.0936696822782515,0.04366968227825149,0.0014746873265788622,2.2319144542123457,1.7467872911300597
0.05,25,20,30,0.0936696822782515,0.04366968227825149,0.0014746873265788622,3.105308099777375,2.6201809366950894
0.05,25,30,40,0.0936696822782515,0.04366968227825149,0.0014746873265788622,3.978701745342405,3.4935745822601194
0.05,25,40,50,0.0936696822782515,0.04366968227825149,0.0014746873265788622,4.852095390907435,4.366968227825149
0.05,25,50,60,0.0936696822782515,0.04366968227825149,0.0014746873265788622,5.7254890364724655,5.240361873390179
0.05,25,60,70,0.0936696822782515,0.04366968227825149,0.0014746873265788622,6.598882682037494,6.113755518955209
0.05,25,70,80,0.0936696822782515,0.04366968227825149,0.0014746873265788622,7.472276327602525,6.987149164520239
0.05,26,10,20,0.0988593787383652,0.0488593787383652,0.005226706368896527,2.488402889504652,1.954375149534608
0.05,26,20,30,0.0988593787383652,0.0488593787383652,0.005226706368896527,3.465590464271956,2.931562724301912
0.05,26,30,40,0.0988593787383652,0.0488593787383652,0.005226706368896527,4.4427780390392595,3.908750299069216
0.05,26,40,50,0.0988593787383652,0.0488593787383652,0.005226706368896527,5.419965613806564,4.88593787383652
0.05,26,50,60,0.0988593787383652,0.0488593787383652,0.005226706368896527,6.397153188573869,5.863125448603824
0.05,26,60,70,0.0988593787383652,0.0488593787383652,0.005226706368896527,7.374340763341171,6.840313023371127
0.05,26,70,80,0.0988593787383652,0.0488593787383652,0.005226706368896527,8.351528338108476,7.817500598138432
0.05,27,10,20,0.10337965383360159,0.05337965383360159,0.004498351852918016,2.7095556247579924,2.1351861533440637
