eta,budget,s,pair,estimator,epsilon,rank_scope,accept_probability,reject_probability,abstain_probability,correct_paid_order_probability,false_candidate_probability,missed_paid_candidate_probability,net_beneficial_accept_probability,net_harmful_accept_probability
1e-10,80,4,primary,sample_variance,0.2,15,0.07045,0.13065000000000002,0.7989,0.13067499999999999,0.069275,0.0038250000000000003,0.0,0.07045
1e-10,80,4,primary,sample_variance,0.2,30,0.0483,0.080525,0.871175,0.080525,0.0483,0.0,0.0,0.0483
1e-10,80,4,primary,sample_variance,0.2,equal_rank,0.07145833333333333,0.16061666666666669,0.767925,0.160625,0.07106666666666667,0.001275,0.0,0.07145833333333333
1e-10,80,4,primary,sample_variance,0.3333333333333333,5,0.043625000000000004,0.16595,0.7904250000000002,0.16595,0.043625000000000004,0.0,0.0,0.043625000000000004
1e-10,80,4,primary,sample_variance,0.3333333333333333,15,0.027975000000000003,0.05815000000000001,0.913875,0.058175,0.027325000000000002,0.00435,0.0,0.027975000000000003
1e-10,80,4,primary,sample_variance,0.3333333333333333,30,0.016725,0.029125000000000005,0.9541499999999999,0.029125000000000005,0.016725,0.0,0.0,0.016725
1e-10,80,4,primary,sample_variance,0.3333333333333333,equal_rank,0.02944166666666667,0.08440833333333332,0.8861500000000001,0.08441666666666665,0.029225000000000004,0.00145,0.0,0.02944166666666667
1e-10,80,4,primary,sample_variance,0.5,5,0.017650000000000002,0.085775,0.896575,0.085775,0.017650000000000002,0.0,0.0,0.017650000000000002
1e-10,80,4,primary,sample_variance,0.5,15,0.01065,0.022325000000000005,0.9670249999999999,0.022350000000000002,0.0103,0.0046500000000000005,0.0,0.01065
1e-10,80,4,primary,sample_variance,0.5,30,0.005825,0.009325000000000002,0.98485,0.009325000000000002,0.005825,0.0,0.0,0.005825
1e-10,80,4,primary,sample_variance,0.5,equal_rank,0.011375000000000001,0.039141666666666665,0.9494833333333332,0.03915,0.011258333333333334,0.0015500000000000002,0.0,0.011375000000000001
1e-10,80,4,right,mom_w1,0.0,5,0.40665,0.59335,0.0,0.59335,0.40665,0.0,0.0,0.40665
1e-10,80,4,right,mom_w1,0.0,15,0.44670000000000004,0.5533,0.0,0.5533,0.44670000000000004,0.0,0.0,0.44670000000000004
1e-10,80,4,right,mom_w1,0.0,30,0.463125,0.536875,0.0,0.536875,0.463125,0.0,0.0,0.463125
1e-10,80,4,right,mom_w1,0.0,equal_rank,0.438825,0.5611750000000001,0.0,0.5611750000000001,0.438825,0.0,0.0,0.438825
1e-10,80,4,right,mom_w1,0.2,5,0.15102500000000002,0.28107499999999996,0.5679,0.28107499999999996,0.15102500000000002,0.0,0.0,0.15102500000000002
1e-10,80,4,right,mom_w1,0.2,15,0.11580000000000001,0.16799999999999998,0.7162000000000001,0.16799999999999998,0.11580000000000001,0.0,0.0,0.11580000000000001
1e-10,80,4,right,mom_w1,0.2,30,0.0875,0.11710000000000001,0.7954000000000001,0.11710000000000001,0.0875,0.0,0.0,0.0875
1e-10,80,4,right,mom_w1,0.2,equal_rank,0.11810833333333333,0.188725,0.6931666666666668,0.188725,0.11810833333333333,0.0,0.0,0.11810833333333333
1e-10,80,4,right,mom_w1,0.3333333333333333,5,0.0906,0.1797,0.7297,0.1797,0.0906,0.0,0.0,0.0906
1e-10,80,4,right,mom_w1,0.3333333333333333,15,0.061950000000000005,0.089725,0.8483250000000001,0.089725,0.061950000000000005,0.0,0.0,0.061950000000000005
1e-10,80,4,right,mom_w1,0.3333333333333333,30,0.0426,0.05625,0.9011500000000001,0.05625,0.0426,0.0,0.0,0.0426
1e-10,80,4,right,mom_w1,0.3333333333333333,equal_rank,0.06505000000000001,0.10855833333333335,0.8263916666666669,0.10855833333333335,0.06505000000000001,0.0,0.0,0.06505000000000001
1e-10,80,4,right,mom_w1,0.5,5,0.048900000000000006,0.102275,0.8488249999999999,0.102275,0.048900000000000006,0.0,0.0,0.048900000000000006
1e-10,80,4,right,mom_w1,0.5,15,0.030750000000000003,0.044475,0.9247749999999999,0.044475,0.030750000000000003,0.0,0.0,0.030750000000000003
1e-10,80,4,right,mom_w1,0.5,30,0.01915,0.023575000000000002,0.9572749999999999,0.023575000000000002,0.01915,0.0,0.0,0.01915
1e-10,80,4,right,mom_w1,0.5,equal_rank,0.032933333333333335,0.056775,0.9102916666666666,0.056775,0.032933333333333335,0.0,0.0,0.032933333333333335
1e-10,80,4,right,mom_w2,0.0,5,0.40665,0.59335,0.0,0.59335,0.40665,0.0,0.0,0.40665
1e-10,80,4,right,mom_w2,0.0,15,0.44670000000000004,0.5533,0.0,0.5533,0.44670000000000004,0.0,0.0,0.44670000000000004
1e-10,80,4,right,mom_w2,0.0,30,0.463125,0.536875,0.0,0.536875,0.463125,0.0,0.0,0.463125
1e-10,80,4,right,mom_w2,0.0,equal_rank,0.438825,0.5611750000000001,0.0,0.5611750000000001,0.438825,0.0,0.0,0.438825
1e-10,80,4,right,mom_w2,0.2,5,0.15102500000000002,0.28107499999999996,0.5679,0.28107499999999996,0.15102500000000002,0.0,0.0,0.15102500000000002
1e-10,80,4,right,mom_w2,0.2,15,0.11580000000000001,0.16799999999999998,0.7162000000000001,0.16799999999999998,0.11580000000000001,0.0,0.0,0.11580000000000001
1e-10,80,4,right,mom_w2,0.2,30,0.0875,0.11710000000000001,0.7954000000000001,0.11710000000000001,0.0875,0.0,0.0,0.0875
1e-10,80,4,right,mom_w2,0.2,equal_rank,0.11810833333333333,0.188725,0.6931666666666668,0.188725,0.11810833333333333,0.0,0.0,0.11810833333333333
1e-10,80,4,right,mom_w2,0.3333333333333333,5,0.0906,0.1797,0.7297,0.1797,0.0906,0.0,0.0,0.0906
1e-10,80,4,right,mom_w2,0.3333333333333333,15,0.061950000000000005,0.089725,0.8483250000000001,0.089725,0.061950000000000005,0.0,0.0,0.061950000000000005
1e-10,80,4,right,mom_w2,0.3333333333333333,30,0.0426,0.05625,0.9011500000000001,0.05625,0.0426,0.0,0.0,0.0426
1e-10,80,4,right,mom_w2,0.3333333333333333,equal_rank,0.06505000000000001,0.10855833333333335,0.8263916666666669,0.10855833333333335,0.06505000000000001,0.0,0.0,0.06505000000000001
1e-10,80,4,right,mom_w2,0.5,5,0.048900000000000006,0.102275,0.8488249999999999,0.102275,0.048900000000000006,0.0,0.0,0.048900000000000006
1e-10,80,4,right,mom_w2,0.5,15,0.030750000000000003,0.044475,0.9247749999999999,0.044475,0.030750000000000003,0.0,0.0,0.030750000000000003
1e-10,80,4,right,mom_w2,0.5,30,0.01915,0.023575000000000002,0.9572749999999999,0.023575000000000002,0.01915,0.0,0.0,0.01915
1e-10,80,4,right,mom_w2,0.5,equal_rank,0.032933333333333335,0.056775,0.9102916666666666,0.056775,0.032933333333333335,0.0,0.0,0.032933333333333335
1e-10,80,4,right,paired_mean,0.0,5,0.40665,0.59335,0.0,0.59335,0.40665,0.0,0.0,0.40665
1e-10,80,4,right,paired_mean,0.0,15,0.44670000000000004,0.5533,0.0,0.5533,0.44670000000000004,0.0,0.0,0.44670000000000004
1e-10,80,4,right,paired_mean,0.0,30,0.463125,0.536875,0.0,0.536875,0.463125,0.0,0.0,0.463125
1e-10,80,4,right,paired_mean,0.0,equal_rank,0.438825,0.5611750000000001,0.0,0.5611750000000001,0.438825,0.0,0.0,0.438825
1e-10,80,4,right,paired_mean,0.2,5,0.15102500000000002,0.28107499999999996,0.5679,0.28107499999999996,0.15102500000000002,0.0,0.0,0.15102500000000002
1e-10,80,4,right,paired_mean,0.2,15,0.11580000000000001,0.16799999999999998,0.7162000000000001,0.16799999999999998,0.11580000000000001,0.0,0.0,0.11580000000000001
1e-10,80,4,right,paired_mean,0.2,30,0.0875,0.11710000000000001,0.7954000000000001,0.11710000000000001,0.0875,0.0,0.0,0.0875
