setup_index,spectrum_family,setup_name,spectral_parameters,matrix_seed,method,trial_index,trial_seed,exact_trace,estimate,squared_error,relative_error,b_final,r_pilot_actual,q_0,q_adapt_raw,q_target,delta_q_raw,delta_q_safe,delta_q_category,r_actual,ell_eff,guard_intervention,guard_relaxed_for_pilot_floor,pilot_cap_applied,max_adjacent_log_gap,gap_location,stop_reason,query_count
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),42,50042,109.88142805312557,110.15506917099918,0.07487946139111844,0.002490330920538354,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),43,50043,109.88142805312557,109.53504546840543,0.11998089499740931,0.003152330569936504,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),44,50044,109.88142805312557,110.20343623315776,0.10368926800764007,0.0029305059620857877,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),45,50045,109.88142805312557,109.949730001354,0.004665156131798275,0.0006215968379606519,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),46,50046,109.88142805312557,110.47717549862637,0.35491501882071813,0.005421730096306709,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),47,50047,109.88142805312557,109.81359225930511,0.004601694923252518,0.0006173544976833283,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),48,50048,109.88142805312557,109.84326022485942,0.0014567831145546203,0.0003473546798800297,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),49,50049,109.88142805312557,110.52510934526798,0.41432560585411427,0.005857962565167936,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),50,50050,109.88142805312557,109.92796755659926,0.0021659253835768144,0.0004235429435007029,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),51,50051,109.88142805312557,109.5139924687198,0.13500890868760873,0.0033439280041766524,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),52,50052,109.88142805312557,110.3411379957852,0.21133323138011914,0.004183691009524992,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),53,50053,109.88142805312557,109.21069301906874,0.4498854859112203,0.006104171068222238,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),54,50054,109.88142805312557,110.195644633704,0.098732059510402,0.002859596804898767,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),55,50055,109.88142805312557,109.71175641516054,0.028788464729739012,0.0015441338993428923,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),56,50056,109.88142805312557,108.83436899650195,1.0963326680575534,0.009528990250448791,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),57,50057,109.88142805312557,110.04371450890132,0.026336893728251997,0.0014769234314763364,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),58,50058,109.88142805312557,110.01570656560318,0.018030718913198896,0.0012220310097597752,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),59,50059,109.88142805312557,109.52194067250062,0.12923117682859142,0.0032715936350149175,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),60,50060,109.88142805312557,109.99880756567477,0.013777949966285946,0.0010682379600348963,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),61,50061,109.88142805312557,109.64305358281551,0.0568223880956032,0.002169379071000185,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),62,50062,109.88142805312557,109.73693264601765,0.020878922675285037,0.0013150120968400995,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),63,50063,109.88142805312557,110.10462023607623,0.04981475053027851,0.0020312093399691305,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),64,50064,109.88142805312557,109.59888364333307,0.07983134350499622,0.002571357278464768,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),65,50065,109.88142805312557,110.01527364989464,0.017914643774466738,0.0012180911655457526,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),66,50066,109.88142805312557,109.95927641836215,0.006060367970007406,0.0007084760966060457,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),67,50067,109.88142805312557,110.1568239597243,0.07584290537133735,0.00250630075962958,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),68,50068,109.88142805312557,109.84110810876894,0.0016256979129224915,0.00036694048367432396,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),69,50069,109.88142805312557,109.77795677651503,0.010706305083416653,0.0009416630129754245,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),70,50070,109.88142805312557,109.00074900629441,0.7755955835274437,0.008014812534156094,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),71,50071,109.88142805312557,109.84958022864632,0.0010142839240615785,0.0002898381013382849,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),72,50072,109.88142805312557,109.99393618357482,0.012658079417183783,0.0010239048804029653,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),73,50073,109.88142805312557,109.28698173154703,0.3533664292382626,0.005409888933106523,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),74,50074,109.88142805312557,109.60356272246337,0.07720914198401874,0.002528774294122446,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),75,50075,109.88142805312557,109.6207290216041,0.06796398503623177,0.0023725486293773483,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),76,50076,109.88142805312557,109.71417354578804,0.02797407022472047,0.0015221362727163266,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),77,50077,109.88142805312557,110.34214875516282,0.2122635652856964,0.00419288964659706,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),78,50078,109.88142805312557,109.82539865714193,0.003139293214291856,0.0005099077885714566,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),79,50079,109.88142805312557,110.53262978333149,0.4240636934231735,0.005926403958738764,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),80,50080,109.88142805312557,110.41557795276806,0.28531611528807793,0.004861148140377597,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),81,50081,109.88142805312557,109.6628191489087,0.04778985300290451,0.001989498208115621,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),82,50082,109.88142805312557,110.00232138676361,0.014615198118117703,0.0011002162583797807,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),83,50083,109.88142805312557,110.31235680360219,0.18569958798733274,0.003921761466990259,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),84,50084,109.88142805312557,110.24847134803129,0.13472078033524218,0.003340357887670103,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
