eta,budget,s,pair,estimator,epsilon,truth_ties,abstention_rate,false_safe,false_safe_eligible_by_rank,false_rejection,false_rejection_eligible_by_rank,better_acceptance,better_acceptance_eligible_by_rank,coverage,coverage_eligible_by_rank
1e-10,160,4,left,mom_w2,0.5,0,0.0,0.0,"{""15"": 200, ""30"": 200, ""5"": 200}",,"{""15"": 0, ""30"": 0, ""5"": 0}",,"{""15"": 0, ""30"": 0, ""5"": 0}",1.0,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,sample_variance,0.0,0,0.0,0.39361725293132327,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",1.0,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,sample_variance,0.2,0,0.7651,0.06731737855946399,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.2349,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,sample_variance,0.3333333333333333,0,0.8847916666666666,0.028177345058626468,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.11520833333333334,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,sample_variance,0.5,0,0.9486166666666667,0.010883333333333333,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.05138333333333333,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,paired_mean,0.0,0,0.0,0.4034243299832496,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",1.0,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,paired_mean,0.2,0,0.6755416666666667,0.11754803182579565,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.32445833333333335,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,paired_mean,0.3333333333333333,0,0.8132,0.06448974036850923,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.1868,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,paired_mean,0.5,0,0.901,0.0330820351758794,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.09900000000000002,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,mom_w1,0.0,0,0.0,0.4034243299832496,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",1.0,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,mom_w1,0.2,0,0.6755416666666667,0.11754803182579565,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.32445833333333335,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,mom_w1,0.3333333333333333,0,0.8132,0.06448974036850923,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.1868,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,mom_w1,0.5,0,0.901,0.0330820351758794,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.09900000000000002,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,mom_w2,0.0,0,0.0,0.4034243299832496,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",1.0,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,mom_w2,0.2,0,0.6755416666666667,0.11754803182579565,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.32445833333333335,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,mom_w2,0.3333333333333333,0,0.8132,0.06448974036850923,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.1868,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,primary,mom_w2,0.5,0,0.901,0.0330820351758794,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.09900000000000002,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,right,sample_variance,0.0,0,0.0,0.392975,"{""15"": 200, ""30"": 200, ""5"": 200}",,"{""15"": 0, ""30"": 0, ""5"": 0}",,"{""15"": 0, ""30"": 0, ""5"": 0}",1.0,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,right,sample_variance,0.2,0,0.778975,0.06589166666666668,"{""15"": 200, ""30"": 200, ""5"": 200}",,"{""15"": 0, ""30"": 0, ""5"": 0}",,"{""15"": 0, ""30"": 0, ""5"": 0}",0.221025,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,right,sample_variance,0.3333333333333333,0,0.894875,0.027816666666666674,"{""15"": 200, ""30"": 200, ""5"": 200}",,"{""15"": 0, ""30"": 0, ""5"": 0}",,"{""15"": 0, ""30"": 0, ""5"": 0}",0.10512500000000001,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,right,sample_variance,0.5,0,0.955575,0.010550000000000002,"{""15"": 200, ""30"": 200, ""5"": 200}",,"{""15"": 0, ""30"": 0, ""5"": 0}",,"{""15"": 0, ""30"": 0, ""5"": 0}",0.044425,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,right,paired_mean,0.0,0,0.0,0.40421666666666667,"{""15"": 200, ""30"": 200, ""5"": 200}",,"{""15"": 0, ""30"": 0, ""5"": 0}",,"{""15"": 0, ""30"": 0, ""5"": 0}",1.0,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,right,paired_mean,0.2,0,0.6907,0.11378333333333333,"{""15"": 200, ""30"": 200, ""5"": 200}",,"{""15"": 0, ""30"": 0, ""5"": 0}",,"{""15"": 0, ""30"": 0, ""5"": 0}",0.30929999999999996,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,right,paired_mean,0.3333333333333333,0,0.8250083333333333,0.06310833333333334,"{""15"": 200, ""30"": 200, ""5"": 200}",,"{""15"": 0, ""30"": 0, ""5"": 0}",,"{""15"": 0, ""30"": 0, ""5"": 0}",0.17499166666666666,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,right,paired_mean,0.5,0,0.9096916666666667,0.032175,"{""15"": 200, ""30"": 200, ""5"": 200}",,"{""15"": 0, ""30"": 0, ""5"": 0}",,"{""15"": 0, ""30"": 0, ""5"": 0}",0.09030833333333332,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,right,mom_w1,0.0,0,0.0,0.40421666666666667,"{""15"": 200, ""30"": 200, ""5"": 200}",,"{""15"": 0, ""30"": 0, ""5"": 0}",,"{""15"": 0, ""30"": 0, ""5"": 0}",1.0,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,160,4,right,mom_w1,0.2,0,0.6907,0.11378333333333333,"{""15"": 200, ""30"": 200, ""5"": 200}",,"{""15"": 0, ""30"": 0, ""5"": 0}",,"{""15"": 0, ""30"": 0, ""5"": 0}",0.30929999999999996,"{""15"": 200, ""30"": 200, ""5"": 200}"
