c,k,l,median_rel_err,iqr_rel_err,mean_rel_err,std_rel_err,is_optuna_best,is_standard_hutchpp,error_reduction_ratio_vs_std,exact_trace
2.0,30,240,0.000207698378091316,0.00018976518245546265,0.00022816510254692718,0.000154871853206507,False,False,0.21794460256701023,1.6429360655148944
2.0,140,20,6.07893373856519e-05,7.854504245120771e-05,7.307242637680006e-05,5.872741067517834e-05,False,False,0.7446493482853589,1.6429360655148944
2.0,100,100,4.526674046692449e-05,6.037962401581344e-05,5.5914923200410074e-05,4.221413389741208e-05,False,True,1.0,1.6429360655148944
2.0,20,260,0.00040510051329918195,0.0004173016796436744,0.00047380777079764037,0.0003629153798119455,False,False,0.1117419973089328,1.6429360655148944
2.0,80,140,4.344951326836786e-05,5.731857409157255e-05,5.540579347129991e-05,4.863106024142329e-05,False,False,1.0418238792994627,1.6429360655148944
2.0,110,80,4.5620044311771795e-05,5.898669873303532e-05,5.1797835260299875e-05,3.8088608251571335e-05,False,False,0.9922555128961998,1.6429360655148944
2.0,40,220,0.00014128053401992803,0.0002128785099703439,0.00017652178183466625,0.00012449944018359671,False,False,0.3204032372962257,1.6429360655148944
2.0,10,280,0.001145410607163087,0.0011971465164038481,0.0011960504181671733,0.0007811462096593484,False,False,0.03952009889190704,1.6429360655148944
2.0,60,180,6.876537198189725e-05,9.992465699034959e-05,8.495244924233453e-05,6.311930825321957e-05,False,False,0.6582781298535131,1.6429360655148944
2.0,130,40,4.389156967549006e-05,4.8381406181424246e-05,4.59991504967477e-05,3.806545035967286e-05,False,False,1.0313310916333518,1.6429360655148944
